country,globalid,harborsize,label_position,latitude,longitude,port_name,short_form,geometry.x,geometry.y
US,{14FB62C9-1CEA-4F12-ACA4-14BB72F042BF},L,SW,37.816667,-122.416667,SAN FRANCISCO,SFO,-13627360,4553559
US,{6EE30C76-399D-42F5-B6ED-403C94DFFCD4},S,SW,37.783333,-122.266667,ALAMEDA,NGZ,-13610660,4548863
US,{A6A21CC3-DE52-4B8A-A5B2-1CAA726E7F02},L,SW,37.816667,-122.333333,OAKLAND,OAK,-13618080,45535590
US,{265AD7A6-4F59-4181-88DE-194F23F64E92},S,SW,37.916667,-122.366667,POINT RICHMOND,RIC,-13621800,4567660
US,{B15D545F-83DD-4D3E-9051-6D9F290A8E9E},S,SW,38.1,-122.266667,MARE ISLAND,None,-13610660,4593562
US,{A97E8B59-1E25-416E-9206-4B59A869E2F4},S,SW,38.083333,-122.25,SOUTH VALLEJO,None,-13608810,4591205
US,{8EB57C5B-100B-4C50-B6B1-4D6B9B1C7545},S,SW,37.95,-121.3,STOCKTON,SCK,-13503050,4572365
US,{3B7B126E-0B60-49AF-89AA-4AC05402CFEA},S,SW,38.583333,-121.5,SACRAMENTO,SMF,-13525320,4662162
US,{20378B4B-3E9E-47D2-AF42-4F0A31D5CA66},S,SW,40.8,-124.183333,EUREKA,ACV,-13824030,4982886
US,{782C11E0-B02D-45AB-8BAD-97C1B5817812},M,SW,43.4,-124.283333,EMPIRE,None,-13835160,5373055
US,{888593DC-D385-4A7C-A1F0-C9D46AB91353},S,SW,43.366667,-124.216667,COOS BAY,None,-13827740,5367950
US,{A04935D7-314D-43D3-AA39-99E91FE93BD5},M,SW,32.716667,-117.183333,SAN DIEGO,SAN,-13044790,3857756
US,{45CCFAFA-CE13-4EEE-907A-5C53A486C434},M,SW,33.766667,-118.183333,LONG BEACH,LGH,-13156110,3997514
US,{ECA58B5E-ADBB-4392-A6F2-1F5476E69375},S,SW,36.616667,-121.883333,MONTEREY,MRY,-13567990,4385809
US,{9B472045-E648-4371-906A-FCC35A7CB0B1},L,SW,45.516667,-122.666667,PORTLAND,None,-13655190,5703230
US,{B8AC37F8-5AA6-4D27-A401-7B35A8E4B9D3},S,SW,21.95,-159.35,NAWILIWILI BAY,None,-17738760,2505523
US,{6D718925-1CF2-4A45-9E3D-B4FBE215BA71},S,SW,21.9,-159.583333,PORT ALLEN,None,-17764740,2499523
US,{50ECBCE3-137E-45BF-A42E-F0D423434067},M,SW,21.3,-157.866667,HONOLULU,HNL,-17573640,2427687
US,{9168C51F-28FF-4885-AFD5-18A1607E3808},S,SW,20.033333,-155.833333,KAWAIHAE,None,-17347290,2276980
US,{A2A35C01-C1D4-4FD0-B74E-424E1A9DE20F},M,SW,19.733333,-155.066667,HILO,ITO,-17261940,2241467
US,{BC904585-28E5-4995-9F6F-BCBDEE4D00C2},M,SW,45.633333,-122.683333,VANCOUVER,None,-13657050,5721784
