,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
103,AVONDALEAZ.GOV,City,Non-Federal Agency,Avondale,AZ,33.4355983,-112.34959640000001
157,BENSONAZ.GOV,City,Non-Federal Agency,Benson,AZ,31.96785554,-110.2945163
182,BISBEEAZ.GOV,City,Non-Federal Agency,Bisbee,AZ,31.44814716,-109.9284062
256,BUCKEYEAZ.GOV,City,Non-Federal Agency,Buckeye,AZ,33.37031809,-112.58377809999999
259,BULLHEADCITYAZ.GOV,City,Non-Federal Agency,Bullhead City,AZ,35.14777736,-114.5682955
311,CASAGRANDEAZ.GOV,City,Non-Federal Agency,Casa Grande,AZ,32.87949715,-111.75735
330,CGAZ.GOV,City,Non-Federal Agency,Casa Grande,AZ,32.87949715,-111.75735
336,CHANDLERAZ.GOV,City,Non-Federal Agency,Chandler,AZ,33.30615828,-111.84124950000002
431,CITYOFKINGMAN.GOV,City,Non-Federal Agency,Kingman,AZ,35.18943917,-114.0530057
467,CITYOFPHOENIX.GOV,City,Non-Federal Agency,Phoenix,AZ,33.44837716,-112.07403629999999
478,CITYOFSAFFORDAZ.GOV,City,Non-Federal Agency,Safford,AZ,32.83394769,-109.7075793
515,CLIFTONAZ.GOV,City,Non-Federal Agency,Clifton,AZ,33.05089594,-109.2961764
581,COTTONWOODAZ.GOV,City,Non-Federal Agency,Cottonwood,AZ,34.73918662,-112.00987649999999
649,DHAZ.GOV,City,Non-Federal Agency,Humboldt,AZ,34.50085627,-112.2373764
660,DOUGLASAZ.GOV,City,Non-Federal Agency,Douglas,AZ,31.34454835,-109.54533719999999
685,EAGARAZ.GOV,City,Non-Federal Agency,Eagar,AZ,34.11115935,-109.2914788
732,ELMIRAGE-AZ.GOV,City,Non-Federal Agency,El Mirage,AZ,33.61308955,-112.3245966
733,ELMIRAGEAZ.GOV,City,Non-Federal Agency,El Mirage,AZ,33.61308955,-112.3245966
736,ELOYAZ.GOV,City,Non-Federal Agency,Eloy,AZ,32.75589761,-111.5548364
793,FLAGSTAFFAZ.GOV,City,Non-Federal Agency,Flagstaff,AZ,35.1980694,-111.65126740000001
797,FLORENCEAZ.GOV,City,Non-Federal Agency,Florence,AZ,33.03144866,-111.38733880000001
871,GILBERTAZ.GOV,City,Non-Federal Agency,Gilbert,AZ,33.35282814,-111.7890271
876,GLENDALEAZ.GOV,City,Non-Federal Agency,Glendale,AZ,33.53864815,-112.1859864
882,GLOBEAZ.GOV,City,Non-Federal Agency,GLOBE,AZ,33.39421997,-110.78649809999999
891,GOODYEARAZ.GOV,City,Non-Federal Agency,Goodyear,AZ,35.21768766,-114.01517759999999
1034,HUACHUCACITYAZ.GOV,City,Non-Federal Agency,Huachuca City,AZ,31.62786571,-110.33396880000001
1195,LHCAZ.GOV,City,Non-Federal Agency,Lake Havasu City,AZ,34.48389727,-114.3224463
1297,MARANAAZ.GOV,City,Non-Federal Agency,Marana,AZ,32.43673644,-111.2253757
1299,MARICOPA-AZ.GOV,City,Non-Federal Agency,Maricopa,AZ,33.0581088,-112.0476372
1338,MESAAZ.GOV,City,Non-Federal Agency,Mesa,AZ,33.42226598,-111.8226392
1342,MIAMIAZ.GOV,City,Non-Federal Agency,Miami,AZ,33.39921903,-110.8687193
1508,NOGALESAZ.GOV,City,Non-Federal Agency,Nogales,AZ,31.34037722,-110.934247
1588,OROVALLEYAZ.GOV,City,Non-Federal Agency,Oro Valley,AZ,32.390908,-110.9664866
1599,PAGEAZ.GOV,City,Non-Federal Agency,Page,AZ,36.91471657,-111.45582720000002
1607,PARADISEVALLEYAZ.GOV,City,Non-Federal Agency,Paradise Valley,AZ,33.53114732,-111.94264799999999
1616,PATAGONIA-AZ.GOV,City,Non-Federal Agency,Patagonia,AZ,31.53953855,-110.7561978
1620,PAYSONAZ.GOV,City,Non-Federal Agency,Payson,AZ,34.23086673,-111.32513629999998
1626,PEORIAAZ.GOV,City,Non-Federal Agency,Peoria,AZ,33.58059793,-112.2373764
1639,PHOENIX.GOV,City,Non-Federal Agency,Phoenix,AZ,33.44837716,-112.07403629999999
1648,PINETOPLAKESIDEAZ.GOV,City,Non-Federal Agency,LAKESIDE,AZ,34.15448601,-109.9734383
1701,PRESCOTT-AZ.GOV,City,Non-Federal Agency,Prescott,AZ,34.54001629,-112.46849830000001
1702,PRESCOTTVALLEY-AZ.GOV,City,Non-Federal Agency,Prescott Valley,AZ,34.58940841,-112.3252491
1812,SAFFORDAZ.GOV,City,Non-Federal Agency,Safford,AZ,32.83394769,-109.7075793
1814,SAHUARITAAZ.GOV,City,Non-Federal Agency,Sahuarita,AZ,31.95757845,-110.9556471
1851,SCOTTSDALEAZ.GOV,City,Non-Federal Agency,Scottsdale,AZ,33.50920727,-111.8990289
1861,SEDONAAZ.GOV,City,Non-Federal Agency,Sedona,AZ,34.86973804,-111.7609856
1880,SHOWLOWAZ.GOV,City,Non-Federal Agency,Show Low,AZ,34.25420616,-110.02982720000001
1883,SIERRAVISTAAZ.GOV,City,Non-Federal Agency,Sierra Vista,AZ,31.55453572,-110.3036864
1898,SNOWFLAKE-AZ.GOV,City,Non-Federal Agency,Snowflake,AZ,34.51336966,-110.07844990000001
1907,SOMERTONAZ.GOV,City,Non-Federal Agency,Somerton,AZ,32.59643626,-114.70967749999998
1933,SPRINGERVILLEAZ.GOV,City,Non-Federal Agency,Springerville,AZ,34.13337838,-109.2859173
1956,STJOHNSAZ.GOV,City,Non-Federal Agency,St. Johns,AZ,34.50586882,-109.3609256
1984,SUPERIORAZ.GOV,City,Non-Federal Agency,Superior,AZ,33.29393737,-111.09622809999999
1988,SURPRISEAZ.GOV,City,Non-Federal Agency,Surprise,AZ,33.6305885,-112.3332179
2007,TEMPE.GOV,City,Non-Federal Agency,Tempe,AZ,33.41476965,-111.909306
2043,TOWNOFHAYDENAZ.GOV,City,Non-Federal Agency,Hayden,AZ,33.00478853,-110.7853777
2095,TUCSONAZ.GOV,City,Non-Federal Agency,Tucson,AZ,32.22173651,-110.92647620000001
2102,TUSAYAN-AZ.GOV,City,Non-Federal Agency,Tusayan,AZ,35.97359808,-112.1265557
2103,TUSAYANAZ.GOV,City,Non-Federal Agency,Grand Canyon,AZ,35.97390855,-113.7689189
2272,WILLIAMSAZ.GOV,City,Non-Federal Agency,Williams,AZ,35.24945934,-112.190999
2296,WINSLOWAZ.GOV,City,Non-Federal Agency,Winslow,AZ,35.02418683,-110.6973565
2321,YUMAAZ.GOV,City,Non-Federal Agency,Yuma,AZ,32.72531833,-114.6243965
