,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
67,ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL,27.21587672,-81.85841662
90,ATLANTISFL.GOV,City,Non-Federal Agency,Atlantis,FL,26.59089568,-80.10087708
107,BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour,FL,25.89175672,-80.12698826
143,BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,Belleair Bluffs,FL,27.92140962,-82.81704755
183,BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Biscayne Park,FL,25.79425937,-80.19254745
196,BOCARATON-FL.GOV,City,Non-Federal Agency,Boca Raton,FL,26.35868929,-80.08309916
298,CAPECORALFL.GOV,City,Non-Federal Agency,Cape Coral,FL,26.56284967,-81.94952903
430,CITYOFKEYWEST-FL.GOV,City,Non-Federal Agency,Key West,FL,24.55569928,-81.78258935
481,CITYOFSARASOTAFL.GOV,City,Non-Federal Agency,Sarasota,FL,27.33642553,-82.53064797
487,CITYOFSUNRISEFL.GOV,City,Non-Federal Agency,Sunrise,FL,26.15766963,-80.28610764
488,CITYOFSUNRISEFLORIDA.GOV,City,Non-Federal Agency,Sunrise,FL,26.15766963,-80.28610764
513,CLEWISTON-FL.GOV,City,Non-Federal Agency,Clewiston,FL,26.75422669,-80.93367668
564,CORALGABLES-FL.GOV,City,Non-Federal Agency,Coral Gables,FL,25.72148733,-80.26837922
565,CORALGABLESFL.GOV,City,Non-Federal Agency,Coral Gables,FL,25.72148733,-80.26837922
603,CUTLERBAY-FL.GOV,City,Non-Federal Agency,Cutler Bay,FL,25.57829654,-80.33769556
615,DANIABEACHFL.GOV,City,Non-Federal Agency,DANIA BEACH,FL,26.05230698,-80.14392926
622,DAVIE-FL.GOV,City,Non-Federal Agency,Davie,FL,26.06286754,-80.23309785
631,DEERFIELDBEACHFL.GOV,City,Non-Federal Agency,Deerfield Beach,FL,26.31840886,-80.09976568
637,DELRAYBEACHFL.GOV,City,Non-Federal Agency,Delray Beach,FL,26.46145567,-80.07281757
640,DELTONAFL.GOV,City,Non-Federal Agency,Deltona,FL,28.90053623,-81.2636684
658,DORAL-FL.GOV,City,Non-Federal Agency,Doral,FL,25.81953813,-80.35532950000001
659,DORALPD-FL.GOV,City,Non-Federal Agency,Doral,FL,25.81953813,-80.35532950000001
714,EDGEWATERFL.GOV,City,Non-Federal Agency,Edgewater,FL,28.98887689,-80.90227847
715,EDGEWOOD-FL.GOV,City,Non-Federal Agency,Edgewood,FL,28.4861185,-81.37228876
751,ESTERO-FL.GOV,City,Non-Federal Agency,Estero,FL,26.43813874,-81.8067477
799,FLORIDACITYFL.GOV,City,Non-Federal Agency,Florida City,FL,25.44788911,-80.47921701
809,FORTMYERSBEACHFL.GOV,City,Non-Federal Agency,Fort Myers Beach,FL,26.45201551,-81.94813866
929,GROVELAND-FL.GOV,City,Non-Federal Agency,Groveland,FL,28.55804912,-81.85118576
930,GULFBREEZEFL.GOV,City,Non-Federal Agency,Gulf Breeze,FL,30.35713797,-87.16385983
941,HALLANDALEBEACHFL.GOV,City,Non-Federal Agency,hallandale beach,FL,25.98119979,-80.14837936
993,HIALEAHFL.GOV,City,Non-Federal Agency,Hialeah,FL,25.85759575,-80.27810735
1063,INTERLACHEN-FL.GOV,City,Non-Federal Agency,Interlachen,FL,29.62385604,-81.89036828
1064,INVERNESS-FL.GOV,City,Non-Federal Agency,Inverness,FL,28.83581847,-82.33036624
1119,KISSIMMEEFL.GOV,City,Non-Federal Agency,Kissimmee,FL,28.30467661,-81.41666832
1160,LAUDERDALEBYTHESEA-FL.GOV,City,Non-Federal Agency,Lauderdale By The Sea,FL,26.19202858,-80.09642697
1161,LAUDERHILL-FL.GOV,City,Non-Federal Agency,Lauderhill,FL,26.14035966,-80.21337609999999
1162,LAUDERHILLFL.GOV,City,Non-Federal Agency,Lauderhill,FL,26.14035966,-80.21337609999999
1168,LBTS-FL.GOV,City,Non-Federal Agency,Lauderdale-By-The-Sea,FL,26.19202858,-80.09642697
1178,LEESBURGFLORIDA.GOV,City,Non-Federal Agency,Leesburg,FL,28.81081869,-81.87785939
1263,MADEIRABEACHFL.GOV,City,Non-Federal Agency,Madeira Beach,FL,27.7976571,-82.79717732
1343,MIAMIBEACHFL.GOV,City,Non-Federal Agency,Miami Beach,FL,25.7906462,-80.13004799
1344,MIAMIGARDENS-FL.GOV,City,Non-Federal Agency,Miami Gardens,FL,25.94203976,-80.24559774
1345,MIAMILAKES-FL.GOV,City,Non-Federal Agency,Miami Lakes,FL,25.90870672,-80.30865964
1346,MIAMISPRINGS-FL.GOV,City,Non-Federal Agency,Miami Springs,FL,25.82231888,-80.28949584
1380,MIRAMARFL.GOV,City,Non-Federal Agency,Miramar,FL,25.98730574,-80.23226992
1421,MSVFL.GOV,City,Non-Federal Agency,Miami Shores,FL,25.86314826,-80.19282642
1439,MYDELRAYBEACHFL.GOV,City,Non-Federal Agency,Delray Beach,FL,26.46145567,-80.07281757
1551,NSIDFL.GOV,City,Non-Federal Agency,Coral Springs,FL,26.27118555,-80.27059752
1560,OAKLANDFL.GOV,City,Non-Federal Agency,Oakland,FL,28.55499839,-81.63312611
1561,OAKLANDPARKFL.GOV,City,Non-Federal Agency,Oakland Park,FL,26.17230683,-80.13198732
1582,OPALOCKAFL.GOV,City,Non-Federal Agency,OPALOCKA,FL,25.90231729,-80.25032682
1585,ORLANDOFL.GOV,City,Non-Federal Agency,Orlando,FL,28.53833637,-81.37923614
1586,ORMONDBEACH-FL.GOV,City,Non-Federal Agency,Ormond Beach,FL,29.28580554,-81.05588583
1600,PALATKA-FL.GOV,City,Non-Federal Agency,Palatka,FL,29.64857685,-81.63757622
1601,PALMETTOBAY-FL.GOV,City,Non-Federal Agency,Palmetto Bay,FL,25.62176718,-80.32476821
1619,PAXTONFL.GOV,City,Non-Federal Agency,Laurel Hill,FL,30.96573597,-86.45966781
1673,POMPANOBEACHFL.GOV,City,Non-Federal Agency,Pompano Beach,FL,26.23785701,-80.12476996
1825,SANFORDFL.GOV,City,Non-Federal Agency,Sanford,FL,28.8005461,-81.27311756
1838,SARASOTAFL.GOV,City,Non-Federal Agency,Sarasota,FL,27.33642553,-82.53064797
1856,SEARANCHLAKESFLORIDA.GOV,City,Non-Federal Agency,Sea Ranch Lakes,FL,26.20257564,-80.0939297
1922,SOUTHMIAMIFL.GOV,City,Non-Federal Agency,South Miami,FL,25.70759706,-80.293379
1958,STLUCIECO.GOV,City,Non-Federal Agency,Ft. Pierce,FL,27.44670624,-80.32560964
1967,STPETE-FL.GOV,City,Non-Federal Agency,St. Petersburg,FL,27.77085748,-82.67926978
1997,TAMPAFL.GOV,City,Non-Federal Agency,Tampa,FL,27.9475163,-82.45842938
2035,TOWNOFCALLAHAN-FL.GOV,City,Non-Federal Agency,Callahan,FL,30.56217578,-81.83065858
2042,TOWNOFHAVERHILL-FL.GOV,City,Non-Federal Agency,Haverhill,FL,26.69117828,-80.12003638
2067,TOWNOFSTLEO-FL.GOV,City,Non-Federal Agency,Saint Leo,FL,28.33722672,-82.25841762
2068,TOWNOFSURFSIDEFL.GOV,City,Non-Federal Agency,Surfside,FL,25.87842891,-80.12559789
2168,VIRGINIAGARDENS-FL.GOV,City,Non-Federal Agency,Virginia Gardens,FL,25.81037694,-80.30226571
2215,WELAKA-FL.GOV,City,Non-Federal Agency,Welaka,FL,29.47913989,-81.67146721
2219,WELLINGTONFL.GOV,City,Non-Federal Agency,Wellington,FL,26.65867767,-80.24143561
2246,WESTONFL.GOV,City,Non-Federal Agency,Weston,FL,26.10036721,-80.39976756
