,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
58,ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA,41.7297078,-93.60576718
147,BELLEVUEIA.GOV,City,Non-Federal Agency,Bellevue,IA,42.25862686,-90.42290712
306,CARTERLAKE-IA.GOV,City,Non-Federal Agency,Carter Lake,IA,41.29054677,-95.91806700000001
320,CEDARRAPIDS-IA.GOV,City,Non-Federal Agency,Cedar Rapids,IA,42.00832757,-91.64406726
441,CITYOFLISBON-IA.GOV,City,Non-Federal Agency,Lisbon,IA,41.92111631,-91.38544821
452,CITYOFMTVERNON-IA.GOV,City,Non-Federal Agency,Mount Vernon,IA,41.92194874,-91.41683743
590,CRESTONIOWA.GOV,City,Non-Federal Agency,Creston,IA,41.05859685,-94.36134914
807,FORTMADISON-IA.GOV,City,Non-Federal Agency,Fort Madison,IA,40.6297579,-91.31514645
900,GRANGERIOWA.GOV,City,Non-Federal Agency,Granger,IA,41.76109701,-93.82438928
924,GRIMESIOWA.GOV,City,Non-Federal Agency,Grimes,IA,41.68831597,-93.79105624
1058,INDIANOLAIOWA.GOV,City,Non-Federal Agency,Indianola,IA,41.35804978,-93.55743697
1123,KNOXVILLEIA.GOV,City,Non-Federal Agency,Knoxville,IA,41.32082908,-93.10936673
1124,KNOXVILLEIOWA.GOV,City,Non-Federal Agency,Knoxville,IA,41.32082908,-93.10936673
1176,LECLAIREIOWA.GOV,City,Non-Federal Agency,LECLAIRE,IA,41.59863893,-90.34345767
1268,MAHARISHIVEDICCITY-IOWA.GOV,City,Non-Federal Agency,Maharishi Vedic City,IA,41.05251789,-91.99489663
1434,MUSCATINEIOWA.GOV,City,Non-Federal Agency,Muscatine,IA,41.42446838,-91.04320858
1671,POLKCITYIA.GOV,City,Non-Federal Agency,Polk City,IA,41.7713786,-93.71299717
2130,VANMETERIA.GOV,City,Non-Federal Agency,Van Meter,IA,41.53192785,-93.95411727
2273,WILLIAMSBURGIOWA.GOV,City,Non-Federal Agency,Williamsburg,IA,41.66111588,-92.00906587
