,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
91,ATTICA-IN.GOV,City,Non-Federal Agency,Attica,IN,40.29419568,-87.24889778
209,BOURBON-IN.GOV,City,Non-Federal Agency,Bremen,IN,41.44643993,-86.14805697
272,BURNSHARBOR-IN.GOV,City,Non-Federal Agency,Burns Harbor,IN,41.62586601,-87.13336603
285,CALUMETTWP-IN.GOV,City,Non-Federal Agency,Gary,IN,41.5933699,-87.34642662
437,CITYOFLAPORTEIN.GOV,City,Non-Federal Agency,La Porte,IN,29.66577882,-95.01936624
477,CITYOFROCKPORT-IN.GOV,City,Non-Federal Agency,Rockport,IN,37.88310714,-87.04943948
556,CONNERSVILLEIN.GOV,City,Non-Federal Agency,Connersville,IN,39.64115963,-85.14106882
576,CORYDON-IN.GOV,City,Non-Federal Agency,Corydon,IN,38.21200995,-86.12191879
588,CRAWFORDSVILLE-IN.GOV,City,Non-Federal Agency,Crawfordsville,IN,40.04114714,-86.87444551
818,FRANKFORT-IN.GOV,City,Non-Federal Agency,Frankfort,IN,40.27947749,-86.51083727
899,GRANDVIEW-IN.GOV,City,Non-Federal Agency,Grandview,IN,39.87031979,-86.19581573
1038,HUNTINGBURG-IN.GOV,City,Non-Federal Agency,Huntingburg,IN,38.29893774,-86.95499736
1056,INDIANAPOLIS-IN.GOV,City,Non-Federal Agency,Indianapolis,IN,39.76837684,-86.15803708
1061,INDY.GOV,City,Non-Federal Agency,Indianapolis,IN,39.76837684,-86.15803708
1143,LAKESTATION-IN.GOV,City,Non-Federal Agency,Lake Station,IN,41.57503852,-87.23891767
1197,LIBERTYIN.GOV,City,Non-Federal Agency,Liberty,IN,39.63559812,-84.93106796
1208,LINTON-IN.GOV,City,Non-Federal Agency,Linton,IN,39.03476644,-87.16584865
1265,MADISON-IN.GOV,City,Non-Federal Agency,Madison,IN,38.73588946,-85.37995713
1385,MITCHELL-IN.GOV,City,Non-Federal Agency,Mitchell,IN,38.73282973,-86.47359858
1398,MONTICELLOIN.GOV,City,Non-Federal Agency,Monticello,IN,40.74531665,-86.76472724
1466,NEWBURGH-IN.GOV,City,Non-Federal Agency,Newburgh,IN,37.94448619,-87.40528590000001
1473,NEWHARMONY-IN.GOV,City,Non-Federal Agency,New Harmony,IN,38.12976625,-87.93502839
1543,NORTHVERNON-IN.GOV,City,Non-Federal Agency,North Vernon,IN,39.00615798,-85.62357901
1630,PERRYTOWNSHIP-IN.GOV,City,Non-Federal Agency,Indianapolis,IN,39.76837684,-86.15803708
1753,RICHMONDINDIANA.GOV,City,Non-Federal Agency,Richmond,IN,39.82893697,-84.89023858
1780,ROCKVILLE-IN.GOV,City,Non-Federal Agency,Rockville,IN,39.76253636,-87.22917603
1865,SELLERSBURG-IN.GOV,City,Non-Federal Agency,Sellersburg,IN,38.39811793,-85.75495835
1915,SOUTHBENDIN.GOV,City,Non-Federal Agency,South Bend,IN,41.68337991,-86.25000892
1927,SPEEDWAYIN.GOV,City,Non-Federal Agency,Speedway,IN,39.80226783,-86.26720639
2044,TOWNOFHOMECROFTIN.GOV,City,Non-Federal Agency,Indianapolis,IN,39.76837684,-86.15803708
2080,TRICOUNTYCONSERVANCY-IN.GOV,City,Non-Federal Agency,Plainfield,IN,39.70420804,-86.39943616
2114,UNIONCITY-IN.GOV,City,Non-Federal Agency,Union City,IN,40.20198986,-84.80912878
2182,WANATAH-IN.GOV,City,Non-Federal Agency,Wanatah,IN,41.43059684,-86.89835639
2200,WATERLOOIN.GOV,City,Non-Federal Agency,Waterloo,IN,41.43198722,-85.01996657
2286,WINCHESTER-IN.GOV,City,Non-Federal Agency,Winchester,IN,40.17198653,-84.9813465
