,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
71,ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS,37.061966,-97.03836858
139,BELAIREKS.GOV,City,Non-Federal Agency,Bel Aire,KS,39.50505571,-76.31975911
267,BURLINGTONKANSAS.GOV,City,Non-Federal Agency,Burlington,KS,38.19446601,-95.74275805
404,CITYOFEUDORAKS.GOV,City,Non-Federal Agency,Eudora,KS,38.94333905,-95.09857722
438,CITYOFLENEXA-KS.GOV,City,Non-Federal Agency,Lenexa,KS,38.95361614,-94.73356961
439,CITYOFLENEXAKS.GOV,City,Non-Federal Agency,Lenexa,KS,38.95361614,-94.73356961
469,CITYOFPLAINVILLE-KS.GOV,City,Non-Federal Agency,Plainville,KS,39.2347287,-99.29815805
688,EASTBOROUGH-KS.GOV,City,Non-Federal Agency,Eastborough,KS,37.68806744,-97.26365909
740,EMPORIA-KANSAS.GOV,City,Non-Federal Agency,Emporia,KS,38.40389992,-96.18165811
847,GALENAKS.GOV,City,Non-Federal Agency,GALENA,KS,37.07589677,-94.63966744
857,GARDNERKANSAS.GOV,City,Non-Federal Agency,Gardner,KS,38.81083931,-94.92718742
873,GIRARDKANSAS.GOV,City,Non-Federal Agency,Girard,KS,37.51115664,-94.83801884
884,GODDARDKS.GOV,City,Non-Federal Agency,Goddard,KS,37.65973796,-97.57532843
959,HARPERCOUNTYKS.GOV,City,Non-Federal Agency,Anthony,KS,37.15335739,-98.03116948
1053,INDEPENDENCEKS.GOV,City,Non-Federal Agency,INDEPENDENCE,KS,37.2242396,-95.70830911
1096,JUNCTIONCITY-KS.GOV,City,Non-Federal Agency,Junction City,KS,39.02860649,-96.83139595
1182,LENEXA-KS.GOV,City,Non-Federal Agency,Lenexa,KS,38.95361614,-94.73356961
1239,LOUISBURGKANSAS.GOV,City,Non-Federal Agency,Louisburg,KS,38.61945779,-94.68078929
1258,LYNDONKS.GOV,City,Non-Federal Agency,Lyndon,KS,38.61000863,-95.68442973
1381,MISSIONHILLSKS.GOV,City,Non-Federal Agency,Mission Hills,KS,39.01777595,-94.61689946
1566,OBERLINKANSAS.GOV,City,Non-Federal Agency,Oberlin,KS,39.81833591,-100.5281959
1574,OGDEN-KS.GOV,City,Non-Federal Agency,Ogden ,KS,39.11110667,-96.70611807
1594,OTTAWAKS.GOV,City,Non-Federal Agency,Ottawa,KS,38.61556564,-95.26774870000001
1618,PAWNEEROCK-KS.GOV,City,Non-Federal Agency,Pawnee Rock,KS,38.26528972,-98.9809272
1939,SPRINGHILLKS.GOV,City,Non-Federal Agency,Spring Hill,KS,38.74305733,-94.82551895
1991,SYRACUSEKS.GOV,City,Non-Federal Agency,Syracuse,KS,37.98056849,-101.7526677
2265,WICHITA.GOV,City,Non-Federal Agency,Wichita,KS,37.69223857,-97.33753804
