,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
239,BRLA.GOV,City,Non-Federal Agency,Baton Rouge,LA,30.45074767,-91.15454670000001
328,CENTRAL-LA.GOV,City,Non-Federal Agency,Central,LA,30.55434647,-91.03676965
380,CITYOFBAKERLA.GOV,City,Non-Federal Agency,Baker ,LA,30.58823747,-91.16815799
466,CITYOFPATTERSONLA.GOV,City,Non-Federal Agency,Patterson,LA,29.69325789,-91.30204811
657,DONALDSONVILLE-LA.GOV,City,Non-Federal Agency,Donaldsonville,LA,30.1010297,-90.99287605
835,FRENCHSETTLEMENT-LA.GOV,City,Non-Federal Agency,French Settlement,LA,30.29519647,-90.7950961
1141,LAKEPROVIDENCELA.GOV,City,Non-Federal Agency,Lake Providence,LA,32.80429982,-91.17010632
1180,LEESVILLELA.GOV,City,Non-Federal Agency,LEESVILLE,LA,31.14351969,-93.26099878
1329,MELVILLELA.GOV,City,Non-Federal Agency,Melville,LA,30.69296567,-91.74399889
1449,NATCHITOCHESLA.GOV,City,Non-Federal Agency,Natchitoches,LA,31.76071642,-93.08626578
1481,NEWORLEANS-LA.GOV,City,Non-Federal Agency,New Orleans,LA,29.95464869,-90.07506999
1482,NEWORLEANSLA.GOV,City,Non-Federal Agency,New Orleans,LA,29.95464869,-90.07506999
1509,NOLA.GOV,City,Non-Federal Agency,New Orleans,LA,29.95464869,-90.07506999
1510,NOLAERB.GOV,City,Non-Federal Agency,New Orleans,LA,29.95464869,-90.07506999
1511,NOLAIPM.GOV,City,Non-Federal Agency,New Orleans,LA,29.95464869,-90.07506999
1512,NOLAOIG.GOV,City,Non-Federal Agency,New Orleans,LA,29.95464869,-90.07506999
1881,SHREVEPORTLA.GOV,City,Non-Federal Agency,Shreveport,LA,32.52514909,-93.75017737
1910,SORRENTOLA.GOV,City,Non-Federal Agency,Sorrento,LA,30.18435781,-90.8592559
1940,SPRINGHILLLOUISIANA.GOV,City,Non-Federal Agency,Springhill,LA,33.00596742,-93.46683751
1995,TALLULAH-LA.GOV,City,Non-Federal Agency,Tallulah,LA,32.40847894,-91.18677734
2176,WALKER-LA.GOV,City,Non-Federal Agency,Walker,LA,30.48796836,-90.86148771
2320,YOUNGSVILLELA.GOV,City,Non-Federal Agency,Youngsville,LA,30.09964832,-91.99011805
