,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
8,ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA,42.10481701,-70.94531902
11,ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA,42.48508727,-71.43283726
12,ACTONMA.GOV,City,Non-Federal Agency,Acton,MA,42.48508727,-71.43283726
48,AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA,42.38036806,-72.52313551
55,ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA,42.65842988,-71.13699752
65,AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA,41.33344596,-70.79946897
73,ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA,42.41536595,-71.15643579
78,ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA,42.63619736,-71.90784661
79,ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA,42.67786816,-71.82034738
87,ATHOL-MA.GOV,City,Non-Federal Agency,Athol,MA,42.59591693,-72.22674681
133,BEDFORDMA.GOV,City,Non-Federal Agency,Bedford,MA,42.49064877,-71.27616567
149,BELMONT-MA.GOV,City,Non-Federal Agency,Belmont,MA,42.39592768,-71.17866832
175,BEVERLYMA.GOV,City,Non-Federal Agency,Beverly,MA,42.55842626,-70.88004782
199,BOLTON-MA.GOV,City,Non-Federal Agency,Bolton,MA,42.43342735,-71.60783573
204,BOSTON.GOV,City,Non-Federal Agency,Boston,MA,42.35842801,-71.05976637
215,BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Boxborough,MA,42.48342691,-71.51617887
216,BOYLSTON-MA.GOV,City,Non-Federal Agency,Boylston,MA,42.39175655,-71.70367723
229,BREWSTER-MA.GOV,City,Non-Federal Agency,Brewster,MA,41.7601071,-70.08279956
247,BROOKLINEMA.GOV,City,Non-Federal Agency,Brookline,MA,42.33175887,-71.12115892
286,CAMBRIDGEMA.GOV,City,Non-Federal Agency,Cambridge,MA,42.37509903,-71.1056083
299,CARLISLEMA.GOV,City,Non-Federal Agency,Carlisle,MA,42.52925985,-71.34949566
309,CARVERMA.GOV,City,Non-Federal Agency,Carver,MA,41.88343666,-70.76253624
342,CHATHAM-MA.GOV,City,Non-Federal Agency,Chatham,MA,41.68205703,-69.95973998
347,CHELSEAMA.GOV,City,Non-Federal Agency,Chelsea,MA,42.39175655,-71.03282726
350,CHESHIRE-MA.GOV,City,Non-Federal Agency,Cheshire,MA,42.56202594,-73.16287974
359,CHICOPEEMA.GOV,City,Non-Federal Agency,Chicopee,MA,42.1725585,-72.59490864
361,CHILMARKMA.GOV,City,Non-Federal Agency,Chilmark,MA,41.3431696,-70.74474932
517,CLINTONMA.GOV,City,Non-Federal Agency,Clinton,MA,42.41675633,-71.68284858
538,COLRAIN-MA.GOV,City,Non-Federal Agency,Colrain,MA,42.67313908,-72.69675711
551,CONCORDMA.GOV,City,Non-Federal Agency,Concord,MA,42.46036646,-71.34894671
602,CUMMINGTON-MA.GOV,City,Non-Federal Agency,Cummington,MA,42.46174784,-72.8939791
611,DALTON-MA.GOV,City,Non-Federal Agency,Dalton,MA,42.47369878,-73.16620945
616,DANVERSMA.GOV,City,Non-Federal Agency,Danvers,MA,42.57508828,-70.93004738
630,DEDHAM-MA.GOV,City,Non-Federal Agency,Dedham,MA,42.24176686,-71.16615943
654,DIGHTON-MA.GOV,City,Non-Federal Agency,Dighton,MA,41.81398982,-71.1203175
677,DUNSTABLE-MA.GOV,City,Non-Federal Agency,Dunstable,MA,42.67508741,-71.48283683
696,EASTLONGMEADOWMA.GOV,City,Non-Federal Agency,East Longmeadow,MA,42.06453658,-72.51258845
790,FITCHBURGMA.GOV,City,Non-Federal Agency,Fitchburg,MA,42.58341704,-71.80229948
