,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
16,ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI,41.8975474,-84.03716828
29,ALGONAC-MI.GOV,City,Non-Federal Agency,Algonac,MI,42.61836994,-82.53101693
37,ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI,42.92057662,-83.04492983
115,BATTLECREEK-MI.GOV,City,Non-Federal Agency,Battle Creek,MI,42.32114881,-85.1797069
116,BATTLECREEKMI.GOV,City,Non-Federal Agency,Battle Creek,MI,42.32114881,-85.1797069
119,BAYCOUNTY-MI.GOV,City,Non-Federal Agency,Bay City,MI,43.59446832,-83.88885694
158,BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Harbor,MI,42.11670945,-86.4541873
190,BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Hudsonville,MI,42.87085603,-85.86503658
191,BLISSFIELDMICHIGAN.GOV,City,Non-Federal Agency,Blissfield,MI,41.83254617,-83.86243979
276,BURTONMI.GOV,City,Non-Federal Agency,Burton,MI,42.99946812,-83.61633863
325,CENTERLINE.GOV,City,Non-Federal Agency,Center Line,MI,42.48503777,-83.02769636
375,CITYOFALBIONMI.GOV,City,Non-Federal Agency,albion,MI,42.24309874,-84.75302776
382,CITYOFBENTONHARBORMI.GOV,City,Non-Federal Agency,Benton Harbor,MI,42.11670945,-86.4541873
417,CITYOFHARRISON-MI.GOV,City,Non-Federal Agency,Harrison,MI,44.01918563,-84.79946814
447,CITYOFMIDLANDMI.GOV,City,Non-Federal Agency,Midland,MI,43.61557595,-84.24720964
457,CITYOFNOVI-MI.GOV,City,Non-Federal Agency,Novi,MI,42.48058767,-83.47548762
520,CLINTONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Clinton Township,MI,44.81722582,-84.00527961
550,COMSTOCKMI.GOV,City,Non-Federal Agency,Kalamazoo,MI,42.29170793,-85.58722673
574,CORUNNA-MI.GOV,City,Non-Federal Agency,Corunna,MI,42.98196917,-84.11774713
632,DEERFIELDMICHIGAN.GOV,City,Non-Federal Agency,Deerfield,MI,41.88893967,-83.77882821
639,DELTAMI.GOV,City,Non-Federal Agency,Lansing,MI,42.73253831,-84.55552678
646,DETROITMI.GOV,City,Non-Federal Agency,Detroit,MI,42.3314259,-83.04574876
648,DEXTERMI.GOV,City,Non-Federal Agency,Dexter,MI,42.33836879,-83.88855997
674,DUNDEEVILLAGEMI.GOV,City,Non-Federal Agency,Dundee,MI,41.9572661,-83.65965628
709,EAUCLAIREVILLAGE-MI.GOV,City,Non-Federal Agency,Eau Claire,MI,41.98504664,-86.29973851
711,ECORSEMI.GOV,City,Non-Federal Agency,ECORSE,MI,42.24447562,-83.14575688
786,FERNDALEMI.GOV,City,Non-Federal Agency,Ferndale,MI,42.46058694,-83.13464737
844,FRUITPORTTOWNSHIP-MI.GOV,City,Non-Federal Agency,Fruitport,MI,43.13195886,-86.15477937
