,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
14,ADAMN.GOV,City,Non-Federal Agency,Ada,MN,47.29968703,-96.51534849
56,ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN,45.2332994,-93.29133959
118,BAXTERMN.GOV,City,Non-Federal Agency,Baxter,MN,46.3432969,-94.28666926
187,BLAINEMN.GOV,City,Non-Federal Agency,Blaine,MN,45.16079733,-93.23494609
193,BLOOMINGTON-MN.GOV,City,Non-Federal Agency,Bloomington,MN,44.84079923,-93.29827797
194,BLOOMINGTONMN.GOV,City,Non-Federal Agency,Bloomington,MN,44.84079923,-93.29827797
273,BURNSVILLEMN.GOV,City,Non-Federal Agency,Burnsville,MN,44.76773921,-93.27771929
283,CALEDONIAMN.GOV,City,Non-Federal Agency,Caledonia,MN,43.63468575,-91.49680883
294,CANNONFALLSMN.GOV,City,Non-Federal Agency,Cannon Falls,MN,44.50690635,-92.90547633
405,CITYOFFAIRFAX-MN.GOV,City,Non-Federal Agency,Fairfax,MN,44.52912988,-94.72081774
421,CITYOFHOKAH-MN.GOV,City,Non-Federal Agency,Hokah,MN,43.75940569,-91.34652666
433,CITYOFLACRESCENT-MN.GOV,City,Non-Federal Agency,La Crescent,MN,43.8280156,-91.30402794
455,CITYOFNEWULM-MN.GOV,City,Non-Federal Agency,New Ulm,MN,44.31245611,-94.46052933
540,COLUMBIAHEIGHTSMN.GOV,City,Non-Federal Agency,Columbia Heights,MN,45.04079748,-93.2629966
560,COONRAPIDSMN.GOV,City,Non-Federal Agency,Coon Rapids,MN,45.11996795,-93.28772641
589,CREDITRIVER-MN.GOV,City,Non-Federal Agency,Prior Lake,MN,44.71329854,-93.42272793
596,CRYSTALMN.GOV,City,Non-Federal Agency,Crystal,MN,45.03273869,-93.36022847
668,DULUTHMN.GOV,City,Non-Federal Agency,Duluth,MN,46.78326785,-92.10657672
717,EDINAMN.GOV,City,Non-Federal Agency,Edina,MN,44.88968739,-93.34994689
725,ELKRIVERMN.GOV,City,Non-Federal Agency,Elk River,MN,45.30384864,-93.56717861
825,FREDENBERGTWP-MN.GOV,City,Non-Federal Agency,Duluth,MN,46.78326785,-92.10657672
837,FRIDLEYMN.GOV,City,Non-Federal Agency,Fridley,MN,45.08607696,-93.26327558
888,GOLDENVALLEYMN.GOV,City,Non-Federal Agency,Golden Valley,MN,45.00968724,-93.34911896
972,HASTINGSMN.GOV,City,Non-Federal Agency,Hastings,MN,44.74329738,-92.85242603
1085,JANESVILLEMN.GOV,City,Non-Federal Agency,Janesville,MN,44.11607554,-93.70799811
1095,JORDANMN.GOV,City,Non-Federal Agency,Jordan,MN,44.66690766,-93.62689731
1145,LAKEVILLE-MN.GOV,City,Non-Federal Agency,Lakeville,MN,44.64968768,-93.2427169
1146,LAKEVILLEMN.GOV,City,Non-Federal Agency,Lakeville,MN,44.64968768,-93.2427169
1147,LAKEVILLEMNFIRE.GOV,City,Non-Federal Agency,Lakeville,MN,44.64968768,-93.2427169
1151,LANESBORO-MN.GOV,City,Non-Federal Agency,Lanesboro,MN,43.72079911,-91.97681723
1228,LONGLAKEMN.GOV,City,Non-Federal Agency,Long Lake,MN,44.98662678,-93.57161971
1267,MADISONLAKEMN.GOV,City,Non-Federal Agency,Madison LAke,MN,44.2044072,-93.81550707
1286,MANKATO-MN.GOV,City,Non-Federal Agency,Mankato,MN,44.16357782,-93.99939675
1287,MANKATOMN.GOV,City,Non-Federal Agency,Mankato,MN,44.16357782,-93.99939675
1294,MAPLEGROVEMN.GOV,City,Non-Federal Agency,Maple Grove,MN,45.07245667,-93.45578649
1296,MAPLEWOODMN.GOV,City,Non-Federal Agency,Maplewood,MN,44.95301927,-92.99521636
1328,MEDINAMN.GOV,City,Non-Federal Agency,Medina,MN,45.03523597,-93.58245925
1377,MINNEAPOLIS-MN.GOV,City,Non-Federal Agency,Minneapolis,MN,44.97996738,-93.26383803
1378,MINNEAPOLISMN.GOV,City,Non-Federal Agency,Minneapolis,MN,44.97996738,-93.26383803
1379,MINNETONKA-MN.GOV,City,Non-Federal Agency,Minnetonka,MN,44.91329679,-93.50328878
1460,NEWAUBURNMN.GOV,City,Non-Federal Agency,New Auburn,MN,44.67356706,-94.22969982
1464,NEWBRIGHTONMN.GOV,City,Non-Federal Agency,New Brighton,MN,45.06551828,-93.20188752
1475,NEWHOPEMN.GOV,City,Non-Federal Agency,New Hope,MN,45.03801672,-93.38661863
1587,ORONOCOTOWNSHIP-MN.GOV,City,Non-Federal Agency,Oronoco,MN,44.1660796,-92.53490721
1627,PEQUOTLAKES-MN.GOV,City,Non-Federal Agency,Pequot Lakes,MN,46.60301835,-94.30943724
1668,PLYMOUTHMN.GOV,City,Non-Federal Agency,Plymouth,MN,45.01051966,-93.45550752
1708,PROCTORMN.GOV,City,Non-Federal Agency,Proctor,MN,46.74715856,-92.22546967
1771,ROCHESTERMN.GOV,City,Non-Federal Agency,Rochester,MN,44.02162892,-92.46989698
1787,ROGERSMN.GOV,City,Non-Federal Agency,Rogers,MN,45.18884784,-93.55300937
1815,SAINTPETERMN.GOV,City,Non-Federal Agency,Saint Peter,MN,44.32357912,-93.95800943
1870,SHAKOPEEMN.GOV,City,Non-Federal Agency,Shakopee,MN,44.79801702,-93.52689818
1879,SHOREVIEWMN.GOV,City,Non-Federal Agency,Shoreview,MN,45.07912958,-93.14716788
1904,SOLWAYTOWNSHIP-MN.GOV,City,Non-Federal Agency,Cloquet,MN,46.72160983,-92.45935891
1966,STPAUL.GOV,City,Non-Federal Agency,Saint Paul,MN,44.94440703,-93.09326716
2107,TWOHARBORSMN.GOV,City,Non-Federal Agency,TWO HARBORS,MN,47.02270961,-91.6707274
2280,WILLMARMN.GOV,City,Non-Federal Agency,Willmar,MN,45.12190728,-95.04333562
2299,WOODBURYMN.GOV,City,Non-Federal Agency,Woodbury,MN,44.92385735,-92.95937704
2309,WSPMN.GOV,City,Non-Federal Agency,West Saint Paul,MN,44.91607755,-93.10160942
