,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
82,ASHGROVEMO.GOV,City,Non-Federal Agency,Ash Grove,MO,37.31532952,-93.58519951
117,BATTLEFIELDMO.GOV,City,Non-Federal Agency,Battlefield,MO,37.11560574,-93.37018609
146,BELLERIVEACRESMO.GOV,City,Non-Federal Agency,Normandy,MO,38.72087879,-90.29733677
152,BELTONPARKSMO.GOV,City,Non-Federal Agency,Belton,MO,38.81194621,-94.5318975
212,BOWLINGGREEN-MO.GOV,City,Non-Federal Agency,Bowling Green,MO,39.34198568,-91.1951376
219,BRANSONMO.GOV,City,Non-Federal Agency,Branson,MO,36.64366962,-93.21850905
308,CARTHAGEMO.GOV,City,Non-Federal Agency,Carthage,MO,37.17644934,-94.31021567
434,CITYOFLADUE-MO.GOV,City,Non-Federal Agency,Ladue,MO,38.6497671,-90.38066937
435,CITYOFLAGRANGEMO.GOV,City,Non-Federal Agency,LaGrange,MO,40.04281649,-91.49764575
456,CITYOFNORMANDY.GOV,City,Non-Federal Agency,St. Louis,MO,38.6272691,-90.19788659
495,CITYOFWEATHERBYLAKE-MO.GOV,City,Non-Federal Agency,Weatherby Lake,MO,39.23777943,-94.69606993
506,CLAYTONMO.GOV,City,Non-Federal Agency,Clayton,MO,38.64254974,-90.32372693
549,COMO.GOV,City,Non-Federal Agency,Columbia,MO,38.95170831,-92.33406753
592,CREVECOEURMO.GOV,City,Non-Federal Agency,Creve Coeur,MO,38.66088562,-90.42261915
778,FARMINGTON-MO.GOV,City,Non-Federal Agency,Farmington,MO,37.78087621,-90.42178672
952,HANNIBAL-MO.GOV,City,Non-Federal Agency,Hannibal,MO,39.70837917,-91.3584776
1054,INDEPENDENCEMO.GOV,City,Non-Federal Agency,Independence,MO,39.09111944,-94.41550633
1060,INDIANPOINT-MO.GOV,City,Non-Federal Agency,Branson,MO,36.64366962,-93.21850905
1068,IRONTONMO.GOV,City,Non-Federal Agency,Ironton,MO,37.59727,-90.62733748
1086,JEFFERSONCITYMO.GOV,City,Non-Federal Agency,Jefferson City,MO,38.57669809,-92.17351728
1099,KANSASCITYMO.GOV,City,Non-Federal Agency,Kansas City,MO,39.09972718,-94.57856736
1100,KCMO.GOV,City,Non-Federal Agency,Kansas City,MO,39.09972718,-94.57856736
1199,LIBERTYMISSOURI.GOV,City,Non-Federal Agency,Liberty,MO,39.24610819,-94.41911951
1200,LIBERTYMO.GOV,City,Non-Federal Agency,Liberty,MO,39.24610819,-94.41911951
1283,MANCHESTERMO.GOV,City,Non-Federal Agency,Manchester,MO,38.59699579,-90.50928596
1309,MARSHFIELDMO.GOV,City,Non-Federal Agency,Marshfield,MO,37.33865995,-92.90711868
1361,MILANMO.GOV,City,Non-Federal Agency,Milan,MO,40.20223734,-93.12520983
1458,NEVADAMO.GOV,City,Non-Federal Agency,Nevada,MO,37.83920903,-94.35466723
1506,NIXAMO.GOV,City,Non-Federal Agency,Nixa,MO,37.04338715,-93.29434982
1589,OSAGEBEACH-MO.GOV,City,Non-Federal Agency,OSAGE BEACH,MO,38.12955927,-92.65276975
1611,PARKVILLEMO.GOV,City,Non-Federal Agency,Parkville,MO,39.19499722,-94.68217967
1658,PLATTSBURG-MO.GOV,City,Non-Federal Agency,Plattsburg,MO,39.56554834,-94.44800695
1678,POPLARBLUFF-MO.GOV,City,Non-Federal Agency,Poplar Bluff,MO,36.75699656,-90.39288579
1937,SPRINGFIELDMO.GOV,City,Non-Federal Agency,Springfield,MO,37.21532589,-93.29823747
1949,STCHARLESCITYMO.GOV,City,Non-Federal Agency,Saint Charles,MO,38.7839362,-90.48122645
1957,STLOUIS-MO.GOV,City,Non-Federal Agency,St. Louis,MO,38.6272691,-90.19788659
1982,SUNRISEBEACH-MO.GOV,City,Non-Federal Agency,Sunrise Beach,MO,38.17585566,-92.78435607
2302,WOODHEIGHTS-MO.GOV,City,Non-Federal Agency,Wood Heights,MO,39.3394479,-94.16271876
