,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
22,ALBEMARLENC.GOV,City,Non-Federal Agency,Albemarle,NC,35.35013791,-80.20005728
70,ARCHDALE-NC.GOV,City,Non-Federal Agency,ARCHDALE,NC,35.91457682,-79.97197702
80,ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC,35.70790566,-79.81363607
81,ASHEVILLENC.GOV,City,Non-Federal Agency,Asheville,NC,35.60094565,-82.55401889
254,BRYSONCITYNC.GOV,City,Non-Federal Agency,Bryson City,NC,35.43092824,-83.44737862
268,BURLINGTONNC.GOV,City,Non-Federal Agency,Burlington,NC,36.09568575,-79.43779792
304,CARRBORONC.GOV,City,Non-Federal Agency,Carrboro,NC,35.91013571,-79.07528759
310,CARYNC.GOV,City,Non-Federal Agency,Cary,NC,35.79153974,-78.78111719
340,CHARLOTTENC.GOV,City,Non-Federal Agency,Charlotte,NC,35.22708733,-80.84312671
362,CHINAGROVENC.GOV,City,Non-Federal Agency,China Grove,NC,35.56930896,-80.58172691
365,CHOWANCOUNTY-NC.GOV,City,Non-Federal Agency,Edenton,NC,36.0579386,-76.60771556
552,CONCORDNC.GOV,City,Non-Federal Agency,Concord,NC,35.40874971,-80.57950861
557,CONOVERNC.GOV,City,Non-Federal Agency,Conover,NC,35.70651978,-81.21868589
680,DURHAMNC.GOV,City,Non-Federal Agency,Durham,NC,35.99402627,-78.89861977
768,FAIRVIEWNC.GOV,City,Non-Federal Agency,Monroe,NC,34.98542727,-80.54950977
779,FARMVILLENC.GOV,City,Non-Federal Agency,Farmville,NC,35.57070833,-79.22001725
783,FAYETTEVILLENC.GOV,City,Non-Federal Agency,Fayetteville,NC,35.0526558,-78.87835806
833,FREMONTNC.GOV,City,Non-Federal Agency,Fremont,NC,35.54543858,-77.97470775
860,GARNERNC.GOV,City,Non-Federal Agency,Garner,NC,35.71125786,-78.61416851
889,GOLDSBORONC.GOV,City,Non-Federal Agency,Goldsboro,NC,35.38487932,-77.99276915
902,GRANITEQUARRYNC.GOV,City,Non-Federal Agency,Granite Quarry ,NC,35.61235664,-80.44672989
918,GREENSBORO-NC.GOV,City,Non-Federal Agency,Greensboro,NC,36.07263879,-79.79197949
920,GREENVILLENC.GOV,City,Non-Federal Agency,Greenville,NC,35.61265811,-77.36634824
989,HENDERSONVILLENC.GOV,City,Non-Federal Agency,Hendersonville,NC,35.31872619,-82.46094915
996,HICKORYNC.GOV,City,Non-Federal Agency,Hickory,NC,35.73318892,-81.34119652
1001,HIGHPOINT-NC.GOV,City,Non-Federal Agency,High Point,NC,35.95568967,-80.00531906
1002,HIGHPOINTNC.GOV,City,Non-Federal Agency,High Point,NC,35.95568967,-80.00531906
1005,HILLSBOROUGHNC.GOV,City,Non-Federal Agency,Hillsborough,NC,36.07541955,-79.09972942
1048,HVLNC.GOV,City,Non-Federal Agency,Hendersonville,NC,35.31872619,-82.46094915
1081,JACKSONVILLENC.GOV,City,Non-Federal Agency,Jacksonville,NC,34.7540488,-77.43023807
1082,JAMESTOWN-NC.GOV,City,Non-Federal Agency,Jamestown,NC,35.99429624,-79.93530977
