,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
9,ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ,39.42844551,-74.49570647
10,ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ,40.34871734,-74.65904648
26,ALEXANDRIANJ.GOV,City,Non-Federal Agency,Milford,NJ,40.56870732,-75.09461682
33,ALLENDALENJ.GOV,City,Non-Federal Agency,Allendale,NJ,41.04148937,-74.12902951
123,BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Beach Haven,NJ,39.5592759,-74.24319788
161,BERKELEYHEIGHTSTWPNJ.GOV,City,Non-Federal Agency,Berkeley Heights,NJ,40.68342914,-74.44264718
217,BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Bradley Beach,NJ,40.20233633,-74.01207589
231,BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Brick,NJ,40.1294878,-74.73570617
235,BRIDGEWATERNJ.GOV,City,Non-Federal Agency,Bridgewater,NJ,40.60078947,-74.64814844
303,CARNEYSPOINTNJ.GOV,City,Non-Federal Agency,Carneys Point,NJ,39.71121841,-75.4701985
344,CHATHAMTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Chatham,NJ,40.74092954,-74.3837564
464,CITYOFPASSAICNJ.GOV,City,Non-Federal Agency,Passaic,NJ,40.85676726,-74.12847606
479,CITYOFSALEMNJ.GOV,City,Non-Federal Agency,Salem,NJ,39.57177579,-75.46713877
514,CLIFFSIDEPARKNJ.GOV,City,Non-Federal Agency,Cliffside Park,NJ,40.82148589,-73.98763856
518,CLINTONNJ.GOV,City,Non-Federal Agency,New Jersey,NJ,40.16705946,-74.4998686
671,DUMONTNJ.GOV,City,Non-Federal Agency,Dumont,NJ,40.94064882,-73.99680874
675,DUNELLEN-NJ.GOV,City,Non-Federal Agency,Dunellen,NJ,40.589266,-74.47181809
701,EASTORANGE-NJ.GOV,City,Non-Federal Agency,East ORange,NJ,40.7673197,-74.20486578
727,ELKTOWNSHIPNJ.GOV,City,Non-Federal Agency,Monroeville,NJ,39.62899721,-75.15934808
759,EVESHAM-NJ.GOV,City,Non-Federal Agency,Marlton,NJ,39.89121594,-74.92182766
796,FLORENCE-NJ.GOV,City,Non-Federal Agency,Florence,NJ,39.73427887,-74.91821898
819,FRANKLIN-NJ.GOV,City,Non-Federal Agency,Someret,NJ,40.49759563,-74.48848911
821,FRANKLINNJ.GOV,City,Non-Federal Agency,Somerset,NJ,40.49759563,-74.48848911
829,FREEHOLDBOROUGHNJ.GOV,City,Non-Federal Agency,Freehold,NJ,40.26010671,-74.27375917
852,GALLOWAYTWP-NJ.GOV,City,Non-Federal Agency,Galloway,NJ,39.48787623,-74.47597572
938,HADDONFIELD-NJ.GOV,City,Non-Federal Agency,Haddonfield,NJ,39.89149942,-75.03766988
958,HARMONYTWP-NJ.GOV,City,Non-Federal Agency,Phillipsburg,NJ,40.69370623,-75.19017934
961,HARRINGTONPARKNJ.GOV,City,Non-Federal Agency,HARRINGTON PARK,NJ,40.98370999,-73.97985875
1009,HOBOKENNJ.GOV,City,Non-Federal Agency,Hoboken,NJ,40.74398927,-74.03235559
1014,HOLLANDTOWNSHIPNJ.GOV,City,Non-Federal Agency,Milford,NJ,40.56870732,-75.09461682
1090,JERSEYCITYNJ.GOV,City,Non-Federal Agency,Jersey City,NJ,40.72815967,-74.07763957
1101,KEANSBURGNJ.GOV,City,Non-Federal Agency,Keansburg,NJ,40.44176909,-74.12985744
1149,LAKEWOODNJ.GOV,City,Non-Federal Agency,Lakewood,NJ,40.0978871,-74.21763565
1186,LEONIANJ.GOV,City,Non-Federal Agency,Leonia,NJ,40.86148734,-73.98818751
1206,LINDENWOLDNJ.GOV,City,Non-Federal Agency,Lindenwold,NJ,39.82427988,-74.99766843
1227,LONGHILLNJ.GOV,City,Non-Federal Agency,Long Hill,NJ,40.70787997,-74.42959834
1230,LONGPORTNJ.GOV,City,Non-Federal Agency,Longport,NJ,39.31427714,-74.52487738
1248,LOWERALLOWAYSCREEK-NJ.GOV,City,Non-Federal Agency,Hancocks Bridge,NJ,39.50538868,-75.46186974
1270,MAHWAH-NJ.GOV,City,Non-Federal Agency,Mahwah,NJ,41.08870818,-74.1437567
1276,MANASQUAN-NJ.GOV,City,Non-Federal Agency,MANASQUAN,NJ,40.12622559,-74.04929658
1292,MANSFIELDTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Port Murray,NJ,40.78564657,-74.91599617
1304,MARLBORO-NJ.GOV,City,Non-Federal Agency,Marlboro,NJ,39.48510898,-75.32796612
1335,MERCHANTVILLENJ.GOV,City,Non-Federal Agency,Merchantville,NJ,39.94733946,-75.06655731
1350,MIDDLESEXBORO-NJ.GOV,City,Non-Federal Agency,Middlesex,NJ,40.57259948,-74.49264674
1369,MILLSTONENJ.GOV,City,Non-Federal Agency,Millstone,NJ,40.28815722,-74.53153679
1371,MILLVILLENJ.GOV,City,Non-Federal Agency,Millville,NJ,39.40205985,-75.03933923
1527,NORTHBRUNSWICKNJ.GOV,City,Non-Federal Agency,North Brunswick,NJ,40.453999,-74.48199619
1617,PATERSONNJ.GOV,City,Non-Federal Agency,Paterson,NJ,40.91676944,-74.17180721
1655,PLAINFIELDNJ.GOV,City,Non-Federal Agency,Plainfield,NJ,40.61681705,-74.41726943
1705,PRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ,40.34871734,-74.65904648
1759,RIDGEFIELDNJ.GOV,City,Non-Federal Agency,Ridgefield,NJ,40.83426926,-74.00874618
1763,RIVERDALENJ.GOV,City,Non-Federal Agency,Riverdale,NJ,40.99398708,-74.30347903
1770,ROCHELLEPARKNJ.GOV,City,Non-Federal Agency,Rochelle Park,NJ,40.90731577,-74.07513779
1783,ROCKYHILL-NJ.GOV,City,Non-Federal Agency,Rocky Hill,NJ,40.39982831,-74.63431667
