,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
18,AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH,41.08143682,-81.51900724
36,ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH,40.91533856,-81.10592589
85,ASHVILLEOHIO.GOV,City,Non-Federal Agency,Ashville,OH,39.71561902,-82.95295799
127,BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,Beavercreek,OH,39.70922959,-84.06326597
130,BEAVERTWP-OH.GOV,City,Non-Federal Agency,North Lima,OH,40.94838813,-80.65895806
132,BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,Bedford Heights,OH,41.41699905,-81.527336
135,BEDFORDOH.GOV,City,Non-Federal Agency,Bedford,OH,41.39310617,-81.53650618
171,BETHEL-OH.GOV,City,Non-Federal Agency,Bethel,OH,38.96367725,-84.08076941
195,BLUEASH-OH.GOV,City,Non-Federal Agency,Blue Ash,OH,39.23199744,-84.37826951
237,BRIMFIELDOHIO.GOV,City,Non-Federal Agency,Kent,OH,41.15366891,-81.35788554
248,BROOKLYNOHIO.GOV,City,Non-Federal Agency,Brooklyn,OH,41.43976703,-81.73540653
278,BYESVILLEOH.GOV,City,Non-Federal Agency,Byesville,OH,39.96978797,-81.53650618
291,CAMPBELLOHIO.GOV,City,Non-Federal Agency,Campbell,OH,41.07838609,-80.59923936
292,CANALWINCHESTEROHIO.GOV,City,Non-Federal Agency,Canal Winchester,OH,39.84283623,-82.80461966
295,CANTONOHIO.GOV,City,Non-Federal Agency,Canton,OH,40.79894739,-81.37844871
296,CANTONTWP-OH.GOV,City,Non-Federal Agency,Canton,OH,40.79894739,-81.37844871
326,CENTERVILLEOHIO.GOV,City,Non-Federal Agency,Centerville,OH,39.62838976,-84.15937744
360,CHILLICOTHEOH.GOV,City,Non-Federal Agency,Chillicothe,OH,39.33311697,-82.98239888
369,CINCINNATI-OH.GOV,City,Non-Federal Agency,Cincinnati,OH,39.16199715,-84.45688654
370,CINCINNATIOHIO.GOV,City,Non-Federal Agency,Cincinnati,OH,39.16199715,-84.45688654
388,CITYOFCANALFULTON-OH.GOV,City,Non-Federal Agency,Canal Fulton,OH,40.88977633,-81.59761976
463,CITYOFPARMA-OH.GOV,City,Non-Federal Agency,Parma,OH,41.40476913,-81.72290664
465,CITYOFPATASKALAOHIO.GOV,City,Non-Federal Agency,Pataskala,OH,39.99561568,-82.67432922
509,CLEVELAND-OH.GOV,City,Non-Federal Agency,Cleveland,OH,41.49949922,-81.69540958
510,CLEVELANDOHIO.GOV,City,Non-Federal Agency,Cleveland,OH,41.49949922,-81.69540958
541,COLUMBIANAOHIO.GOV,City,Non-Federal Agency,Columbiana,OH,40.88838595,-80.69395595
544,COLUMBIATWP-OH.GOV,City,Non-Federal Agency,Columbia Station,OH,41.31310776,-81.94680678
545,COLUMBUS.GOV,City,Non-Federal Agency,Columbus,OH,39.96117573,-82.99878643
546,COLUMBUSOH.GOV,City,Non-Federal Agency,Columbus,OH,39.96117573,-82.99878643
547,COLUMBUSOHIO.GOV,City,Non-Federal Agency,Columbus,OH,39.96117573,-82.99878643
548,COMMERCIALPOINTOHIO.GOV,City,Non-Federal Agency,Commercial Point,OH,39.76839934,-83.05712825
555,CONNEAUTOHIO.GOV,City,Non-Federal Agency,Conneaut,OH,41.94755597,-80.55423885
