,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
275,BURRILLVILLE-RI.GOV,City,Non-Federal Agency,Harrisville,RI,41.96564886,-71.67450632
582,COVENTRYRI.GOV,City,Non-Federal Agency,Coventry,RI,41.70009592,-71.68283958
1083,JAMESTOWNRI.GOV,City,Non-Federal Agency,Jamestown,RI,41.49704694,-71.36727808
1445,NARRAGANSETTRI.GOV,City,Non-Federal Agency,Narragansett,RI,41.45009811,-71.44949928
1483,NEWPORT-RI.GOV,City,Non-Federal Agency,Newport,RI,41.49009956,-71.31282841
1538,NORTHPROVIDENCERI.GOV,City,Non-Federal Agency,North Providence,RI,41.85009911,-71.46616581
1710,PROVIDENCERI.GOV,City,Non-Federal Agency,Providence,RI,41.82398793,-71.41282754
1892,SMITHFIELDRI.GOV,City,Non-Federal Agency,Smithfield,RI,41.92203873,-71.54950741
2073,TOWNOFWARREN-RI.GOV,City,Non-Federal Agency,Warren,RI,41.73037824,-71.28254609999999
2189,WARWICKRI.GOV,City,Non-Federal Agency,Warwick,RI,41.70009592,-71.41616624
2229,WESTERLYRI.GOV,City,Non-Federal Agency,Westerly,RI,41.37759604,-71.82728576
