,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
0,GOODLETTSVILLE.GOV,City,Commission on Civil Rights,Goodlettsville,TN,36.32310907,-86.7133283
31,ALGOODTN.GOV,City,Non-Federal Agency,Algood,TN,36.19588736,-85.44857604
83,ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN,36.27421641,-87.06416667
224,BRENTWOOD-TN.GOV,City,Non-Federal Agency,Brentwood,TN,36.0331188,-86.78277964
228,BRENTWOODTN.GOV,City,Non-Federal Agency,Brentwood,TN,36.0331188,-86.78277964
250,BROWNSVILLETN.GOV,City,Non-Federal Agency,Brownsville,TN,35.59396677,-89.26228912
289,CAMDENTN.GOV,City,Non-Federal Agency,Camden,TN,36.05894651,-88.09781945
346,CHATTANOOGA.GOV,City,Non-Federal Agency,Chattanooga,TN,35.04562743,-85.30967786
367,CHURCHHILLTN.GOV,City,Non-Federal Agency,Church Hill,TN,36.52231989,-82.71348924
376,CITYOFALCOA-TN.GOV,City,Non-Federal Agency,Alcoa,TN,35.78952842,-83.97378691
377,CITYOFALGOODTN.GOV,City,Non-Federal Agency,Algood,TN,36.19588736,-85.44857604
462,CITYOFPARISTN.GOV,City,Non-Federal Agency,Paris,TN,36.30199694,-88.32670964
468,CITYOFPIGEONFORGETN.GOV,City,Non-Federal Agency,Pigeon Forge,TN,35.78841701,-83.55432963
473,CITYOFPORTLANDTN.GOV,City,Non-Federal Agency,Portland,TN,36.58170562,-86.51637628
511,CLEVELANDTN.GOV,City,Non-Federal Agency,Cleveland,TN,35.15951682,-84.87660929
530,COLLEGEDALETN.GOV,City,Non-Federal Agency,Collegedale,TN,35.05312826,-85.05022638
533,COLLIERVILLETN.GOV,City,Non-Federal Agency,Collierville,TN,35.04203675,-89.66452642
543,COLUMBIATN.GOV,City,Non-Federal Agency,Columbia,TN,35.6150699,-87.03527924
559,COOKEVILLE-TN.GOV,City,Non-Federal Agency,Cookeville,TN,36.16283779,-85.50163983
594,CROSSVILLETN.GOV,City,Non-Federal Agency,Crossville,TN,35.94895827,-85.02689596
614,DANDRIDGETN.GOV,City,Non-Federal Agency,Dandridge,TN,36.01536788,-83.414887
684,DYERSBURGTN.GOV,City,Non-Federal Agency,Dyersburg,TN,36.03451818,-89.38562767
704,EASTRIDGETN.GOV,City,Non-Federal Agency,East Ridge,TN,35.01423821,-85.25189849
780,FARRAGUT-TN.GOV,City,Non-Federal Agency,Farragut,TN,35.88451949,-84.15352796
820,FRANKLIN-TN.GOV,City,Non-Federal Agency,Franklin,TN,35.92505639,-86.8688885
823,FRANKLINTN.GOV,City,Non-Federal Agency,Franklin,TN,35.92505639,-86.8688885
850,GALLATIN-TN.GOV,City,Non-Federal Agency,Gallatin,TN,36.38837578,-86.44665947
