,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
15,ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX,32.96178584,-96.82916865
20,ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX,29.48494887,-98.46584891
40,ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX,26.28728962,-98.31334844
43,ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX,29.42384879,-95.2440988
44,AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX,35.22199828,-101.8312983
59,ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX,33.34899898,-96.54859604
60,ANNETTATX.GOV,City,Non-Federal Agency,Aledo,TX,32.69595843,-97.60224955
66,ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX,27.90946768,-97.14998568
72,ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX,32.73568991,-97.10806740000001
74,ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX,32.73568991,-97.10806740000001
86,ATHENSTX.GOV,City,Non-Federal Agency,Athens,TX,32.20486751,-95.85551805
92,AUBREYTX.GOV,City,Non-Federal Agency,Aubrey,TX,33.30427745,-96.98611922
98,AURORATEXAS.GOV,City,Non-Federal Agency,Rhome,TX,33.05345621,-97.47196811
100,AUSTINTEXAS.GOV,City,Non-Federal Agency,Austin,TX,30.26714596,-97.74305555
101,AUSTINTX.GOV,City,Non-Federal Agency,Austin,TX,30.26714596,-97.74305555
114,BASTROPTX.GOV,City,Non-Federal Agency,Bastrop,TX,30.11048786,-97.31526951
125,BEAUMONTTEXAS.GOV,City,Non-Federal Agency,Beaumont,TX,30.08604603,-94.10184816
136,BEDFORDTX.GOV,City,Non-Federal Agency,Bedford,TX,32.84401779,-97.14306979
138,BEECAVETEXAS.GOV,City,Non-Federal Agency,Bee Cave,TX,30.30853779,-97.94500663
141,BELLAIRETX.GOV,City,Non-Federal Agency,Bellaire,TX,29.70578927,-95.45882875
153,BELTONTEXAS.GOV,City,Non-Federal Agency,Belton,TX,31.05600696,-97.46444927
154,BENBROOK-TX.GOV,City,Non-Federal Agency,Benbrook,TX,32.67318595,-97.46057962
176,BHTX.GOV,City,Non-Federal Agency,Balcones Heights,TX,29.4880086,-98.55168779
179,BIGSANDYTX.GOV,City,Non-Federal Agency,Big Sandy,TX,32.58374739,-95.10882731
197,BOERNE-TX.GOV,City,Non-Federal Agency,BOERNE,TX,29.79465639,-98.73196879999999
200,BONNEYTEXAS.GOV,City,Non-Federal Agency,Bonney,TX,29.31662781,-95.44799821
202,BORGERTX.GOV,City,Non-Federal Agency,Borger,TX,35.66781872,-101.39738829999999
