,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
270,BURLINGTONVT.GOV,City,Non-Federal Agency,Burlington,VT,44.47587711,-73.21206938
281,CALAISVERMONT.GOV,City,Non-Federal Agency,East Calais,VT,44.36644682,-72.42982729
353,CHESTERVT.GOV,City,Non-Federal Agency,Chester,VT,43.26284775,-72.59508863
526,COLCHESTERVT.GOV,City,Non-Federal Agency,Colchester,VT,44.54393807,-73.14790957
762,FAIRFAX-VT.GOV,City,Non-Federal Agency,Fairfax,VT,44.6653283,-73.00874592
1089,JERICHOVT.GOV,City,Non-Federal Agency,Jericho,VT,44.50393662,-72.99762741
1280,MANCHESTER-VT.GOV,City,Non-Federal Agency,Manchester Center,VT,43.17701787,-73.05704913
1529,NORTHFIELD-VT.GOV,City,Non-Federal Agency,Northfield,VT,44.15116792,-72.65649918
1755,RICHMONDVT.GOV,City,Non-Federal Agency,Richmond,VT,44.40532787,-72.99289833
1869,SHAFTSBURYVT.GOV,City,Non-Federal Agency,Shaftsbury,VT,43.0086878,-73.19121823
1917,SOUTHBURLINGTONVT.GOV,City,Non-Federal Agency,South Burlington,VT,44.4669859,-73.17095653
2112,UNDERHILLVT.GOV,City,Non-Federal Agency,"Underhill, Ctr",VT, VT,44.507264
