,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
233,BRIDGEPORTWV.GOV,City,Non-Federal Agency,Bridgeport,WV,39.2864786,-80.2561988
338,CHARLESTONWV.GOV,City,Non-Federal Agency,Charleston,WV,38.34981922,-81.63261766
402,CITYOFDUNBARWV.GOV,City,Non-Federal Agency,Dunbar,WV,38.36064976,-81.73734586
766,FAIRMONTWV.GOV,City,Non-Federal Agency,Fairmont,WV,39.48507748,-80.14257938
1405,MORGANTOWNWV.GOV,City,Non-Federal Agency,Morgantown,WV,39.62952816,-79.95589994
1568,OCEANAWV.GOV,City,Non-Federal Agency,Oceana,WV,37.69205859,-81.62399642
1610,PARKERSBURGWV.GOV,City,Non-Federal Agency,Parkersburg,WV,39.26673886,-81.56150597
1707,PRINCETONWV.GOV,City,Non-Federal Agency,Princeton,WV,37.366229,-81.10258719
1757,RICHWOODWV.GOV,City,Non-Federal Agency,Richwood,WV,38.22483831,-80.53313572
2220,WELLSBURGWV.GOV,City,Non-Federal Agency,WELLSBURG,WV,40.27200815,-80.60951644
2259,WHEELINGWV.GOV,City,Non-Federal Agency,Wheeling,WV,40.06395561,-80.72090856
