date,soi,oni,nino3,pna
195101,1.5,-0.8,-0.72,-1.18
195102,0.9,-0.5,-0.43,-2.11
195103,-0.1,-0.2,-0.63,-1.09
195104,-0.3,0.2,0,0.47
195105,-0.7,0.4,-0.12,1.19
195106,0.2,0.6,0.27,-0.54
195107,-1,0.7,1.14,-0.44
195108,-0.2,0.9,1.26,0.02
195109,-1.1,1,0.87,-0.08
195110,-1,1.2,1.03,0.43
195111,-0.8,1,1.03,0.21
195112,-0.7,0.8,0.81,-1.59
195201,-0.9,0.5,0.43,-3.19
195202,-0.6,0.4,0.2,0.08
195203,0.5,0.3,0.11,-0.69
195204,-0.2,0.3,0.14,0.89
195205,0.8,0.2,-0.52,-0.79
195206,0.7,0,-0.73,0.53
195207,0.5,-0.1,-0.76,-1.57
195208,0.1,0,-0.55,0.77
195209,-0.2,0.2,-0.62,0.4
195210,0.4,0.1,-0.27,1.05
195211,0,0,-0.55,0.77
195212,-1.2,0.1,-0.69,0.63
195301,0.3,0.4,0.07,0.18
195302,-0.5,0.6,0.24,1.04
195303,-0.2,0.6,0.15,-0.44
195304,0.2,0.7,0.79,0.78
195305,-1.7,0.8,0.36,1.14
195306,0.1,0.8,0.5,-1.6
195307,0,0.7,0.22,0.27
195308,-1.2,0.7,0.04,-1.15
195309,-1.2,0.8,0.7,-0.14
195310,0.1,0.8,0.01,2.27
195311,-0.3,0.8,0.13,1.57
195312,-0.5,0.8,0.08,0.96
195401,0.7,0.8,-0.15,-2.11
195402,-0.3,0.5,-0.12,-0.48
195403,0.3,0,-0.32,-1.44
195404,0.6,-0.4,-1.17,-2.86
195405,0.5,-0.5,-1.25,0.65
195406,0.1,-0.5,-1.33,0.09
195407,0.4,-0.6,-1.35,-0.14
195408,1.1,-0.8,-1.33,-0.11
195409,0.2,-0.9,-1.35,-0.04
195410,0.3,-0.8,-1.28,0.99
195411,0.1,-0.7,-1.38,1.38
195412,1.4,-0.7,-1.18,-0.82
195501,-0.5,-0.7,-0.76,-0.14
195502,1.9,-0.6,-0.68,-2.62
195503,0.6,-0.7,-0.88,-2.47
195504,-0.1,-0.8,-0.99,-0.24
195505,1,-0.8,-1.52,-0.42
195506,1.3,-0.7,-1.41,0.11
195507,1.6,-0.7,-1.26,-1.32
195508,1.5,-0.7,-0.79,-0.55
195509,1.3,-1.1,-1.44,-0.22
195510,1.5,-1.4,-1.7,0.51
195511,1.2,-1.7,-2.08,-0.93
195512,1,-1.5,-1.65,-2.37
195601,1.3,-1.1,-1.3,-2.34
195602,1.6,-0.8,-0.92,-1.69
195603,1.3,-0.6,-0.67,-0.97
195604,0.9,-0.5,-0.75,-0.17
195605,1.4,-0.5,-0.67,-0.17
195606,1.1,-0.5,-0.62,-0.08
195607,1.1,-0.6,-0.76,-1.28
195608,1.2,-0.6,-0.67,-0.23
195609,0.1,-0.5,-0.71,0.42
195610,1.8,-0.4,-0.6,-2.16
195611,0.2,-0.4,-1.05,1
195612,1.1,-0.4,-0.8,-0.61
195701,0.6,-0.2,-0.87,-2.18
195702,-0.1,0.1,-0.31,-1.89
195703,0.2,0.4,0.23,0.78
195704,0.2,0.7,0.34,-0.41
195705,-0.7,0.9,0.56,1.24
195706,0.2,1.1,0.9,0.24
195707,0.2,1.3,1.19,-0.11
195708,-0.5,1.3,1.14,-0.99
195709,-0.9,1.3,0.68,-0.22
195710,0,1.4,0.83,0.46
195711,-1,1.5,1.02,0.49
195712,-0.3,1.7,1.16,-0.73
195801,-1.9,1.8,1.19,0.62
195802,-0.5,1.7,0.91,0.36
195803,0.3,1.3,0.56,0.18
