city_id,name,state,capital,pop2000,pop2007,longitude,latitude
1,Honolulu,HI,State,371657,378587,-157.8234362,21.30578163
2,Juneau,AK,State,30711,31592,-134.5115816,58.35141816
3,Boise City,ID,State,185787,203529,-116.2376546,43.61373614
4,Olympia,WA,State,27514,45523,-122.8930726,47.04241817
5,Salem,OR,State,136924,152039,-123.0291546,44.93110915
6,Carson,NV,State,52457,56641,-119.7538726,39.16094565
7,Sacramento,CA,State,407018,462910,-121.4689271,38.55560915
8,Phoenix,AZ,State,1321045,1502129,-112.0763001,33.52837266
9,Salt Lake City,UT,State,181743,185364,-111.8926181,40.75470014
10,Cheyenne,WY,State,53011,54750,104.8020456,-41.14554516
11,Denver,CO,State,554636,578062,-104.9654816,39.72629115
12,Santa Fe,NM,State,62203,68975,-105.9645726,35.66722715
13,Oklahoma City,OKK,State,506132,552556,-97.5349911,35.48230867
14,Topeka,KS,State,122377,122212,-95.6895091,39.03920016
15,Lincoln,NE,State,225581,243824,-96.67534558,40.80986367
16,Des Moines,IA,State,200682,201257,-93.62086361,41.59093617
17,Jefferson City,MO,State,39636,38718,-92.18928158,38.57295465
18,Little Rock,AR,State,183133,190640,-92.33111808,34.73600917
19,Austin,TX,State,656562,736677,-97.74724558,30.30047264
