Logged into GIS 
last checked: 2018-02-26 15:10:37.864371
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:05.046625
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:08.568759
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:12.068116
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:15.557937
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:18.922620
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:22.412441
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:25.899019
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:29.394693
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:33.020282
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:36.408978
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:39.809594
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:43.172133
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:46.676134
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:50.027502
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:53.500545
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:10:56.850633
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:00.245206
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:03.719898
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:07.072215
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:10.611741
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:13.983709
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:17.334020
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:20.693611
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:24.174231
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:27.536766
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:31.029686
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:34.548219
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:38.010542
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:41.446388
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:44.798504
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:48.141608
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:51.616160
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:54.970088
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:11:58.445906
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:01.816978
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:05.172842
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:08.572980
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:11.962602
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:15.454716
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:18.819136
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:22.325603
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:25.692089
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:29.243756
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:32.714365
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:36.105496
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:39.589867
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:43.011682
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:46.364066
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:49.701437
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:53.066213
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:56.479921
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:12:59.868668
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:03.504384
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:06.990498
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:10.625908
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:14.004035
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:17.437394
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:20.805282
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:24.196229
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:27.542951
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:30.901056
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:34.942550
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:38.502436
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:41.850936
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:45.339142
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:48.689430
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:52.070549
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:55.581742
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:13:59.084311
last updated: 2018-02-26 06:47:25.603000
last checked: 2018-03-05 04:14:02.479908
