SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Portland,OR,97211.0,27500.0,0.0,1.0,RODGER'S MARINA,350.0,,,53.0,79.0,,Active,,,RMLS,18567126,N,Y,45.60475636039733,-122.62433473960267
MLS Listing,,Vacant Land,Portland,OR,97210.0,30000.0,,,"Portland West, Raleigh Hills",,10018.0,,10.0,,,Active,,,RMLS,18118897,N,Y,45.52283651278436,-122.73317348721565
MLS Listing,,Vacant Land,Portland,OR,97220.0,34777.0,,,Portland Northeast,,12196.0,,239.0,,,Active,,,RMLS,18454531,N,Y,45.55432092100911,-122.55384907899088
MLS Listing,,Mobile/Manufactured Home,Portland,OR,97206.0,35000.0,2.0,1.0,Portland Southeast,800.0,,1981.0,93.0,44.0,,Active,,,RMLS,18331169,N,Y,45.47529563803574,-122.58613896196425
MLS Listing,,Vacant Land,Portland,OR,97213.0,50000.0,,,Marchmont ADD & RPLT,,2613.0,,20.0,,,Active,,,RMLS,18388618,N,Y,45.55002141118377,-122.57770058881621
MLS Listing,,Vacant Land,Portland,OR,97219.0,57599.0,,,"Portland West, Raleigh Hills",,4791.0,,177.0,,,Active,,,RMLS,18210193,N,Y,45.47970075968738,-122.68675724031262
MLS Listing,,Vacant Land,Portland,OR,97219.0,57599.0,,,"Portland West, Raleigh Hills",,4791.0,,177.0,,,Active,,,RMLS,18412746,N,Y,45.456269627081035,-122.70999037291895
MLS Listing,,Vacant Land,Portland,OR,97220.0,59950.0,,,Portland Northeast,,12632.0,,357.0,,,Active,,,RMLS,17677091,N,Y,45.59250063781028,-122.51596836218972
For-Sale-by-Owner Listing,,Single Family Residential,Portland,OR,97202.0,60000.0,1.0,1.0,Portland,1100.0,,1939.0,359.0,55.0,,Active,,,Fizber.com,4933081,N,Y,45.474719346231396,-122.6619570537686
MLS Listing,,Vacant Land,Portland,OR,97219.0,65000.0,,,WEST PORTLAND PARK,,7405.0,,146.0,,,Active,,,RMLS,18600380,N,Y,45.4517629006599,-122.71353309934011
MLS Listing,,Vacant Land,Portland,OR,97219.0,65000.0,,,WEST PORTLAND PARK,,7405.0,,148.0,,,Active,,,RMLS,18563965,N,Y,45.466918834701445,-122.69808516529855
MLS Listing,,Vacant Land,Portland,OR,97219.0,65000.0,,,"Portland West, Raleigh Hills",,10018.0,,146.0,,,Active,,,RMLS,18322681,N,Y,45.469927605070055,-122.69473639492996
MLS Listing,,Vacant Land,Portland,OR,97231.0,65000.0,,,Glen Harbor Heights,,17859.0,,276.0,,,Active,,,RMLS,17542710,N,Y,45.59849518026347,-122.77035131973653
MLS Listing,,Vacant Land,Portland,OR,97216.0,69900.0,,,MILL PARK,,2613.0,,50.0,,,Active,,,RMLS,18050841,N,Y,45.491581286848586,-122.53407571315141
For-Sale-by-Owner Listing,,Mobile/Manufactured Home,Portland,OR,97224.0,69950.0,2.0,2.0,Tigard,1500.0,,1976.0,44.0,47.0,,Active,,,Fizber.com,4974567,N,Y,45.41035149492029,-122.78430950507972
MLS Listing,,Mobile/Manufactured Home,Milwaukie,OR,97222.0,74900.0,2.0,2.0,King Road Mobile Home Park,1680.0,,1986.0,21.0,45.0,605.0,Active,,,RMLS,18007426,N,Y,45.463007729821925,-122.56460447017808
MLS Listing,,Vacant Land,Portland,OR,97231.0,75000.0,,,NW Washington Co or Sauvie Island,,8712.0,,168.0,,,Active,,,RMLS,18243028,N,Y,45.5817392538189,-122.79514574618109
MLS Listing,,Vacant Land,Portland,OR,97231.0,75000.0,,,"Portland West, Raleigh Hills",,10454.0,,276.0,,,Active,,,RMLS,17026085,N,Y,45.589086994068,-122.78149040593202
MLS Listing,,Single Family Residential,Portland,OR,97231.0,79000.0,1.0,1.0,NW Washington Co or Sauvie Island,600.0,,1940.0,476.0,132.0,,Active,,,RMLS,17140955,N,Y,45.69889473511819,-122.8630854648818
MLS Listing,,Single Family Residential,Portland,OR,97231.0,79000.0,0.0,1.0,Skyline Moorage,323.0,,1960.0,116.0,245.0,,Active,,,RMLS,18092820,N,Y,45.71737816225922,-122.84465933774078
MLS Listing,,Vacant Land,Portland,OR,97239.0,79500.0,,,"Portland West, Raleigh Hills",,12632.0,,61.0,,,Active,,,RMLS,18692147,N,Y,45.520081278573485,-122.67190072142651
MLS Listing,,Vacant Land,Portland,OR,97233.0,80000.0,,,Portland Southeast,,6969.0,,162.0,,,Active,,,RMLS,18469074,N,Y,45.521259011652795,-122.4680130883472
MLS Listing,,Vacant Land,Portland,OR,97219.0,80000.0,,,WEST PORTLAND PARK,,7405.0,,234.0,,,Active,,,RMLS,18179382,N,Y,45.45923503640609,-122.69703996359391
