SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Gresham,OR,97080,399900,5.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2455.0,4791.0,2008.0,1.0,163.0,,Active,September-22-2018 02:00 PM,September-22-2018 04:00 PM,RMLS,18492677,N,Y,45.48253818920197,-122.44442521079803
MLS Listing,,Single Family Residential,Gresham,OR,97230,349900,3.0,2.0,NORTH GRESHAM,1608.0,17424.0,1976.0,7.0,218.0,,Active,,,RMLS,18556251,N,Y,45.54905023440307,-122.44958446559694
MLS Listing,,Townhouse,Gresham,OR,97080,349000,2.0,2.0,BINFORD RIDGE,1017.0,2178.0,2003.0,13.0,343.0,39.0,Active,,,RMLS,18056772,N,Y,45.4589702801445,-122.4680803198555
MLS Listing,,Townhouse,Gresham,OR,97080,369000,3.0,2.0,BINFORD RIDGE,1743.0,2613.0,2003.0,13.0,212.0,39.0,Active,,,RMLS,18426527,N,Y,45.49007187099465,-122.43711032900536
MLS Listing,,Townhouse,Gresham,OR,97030,239900,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",1387.0,871.0,2001.0,13.0,173.0,110.0,Active,September-23-2018 01:00 PM,September-23-2018 03:00 PM,RMLS,18066447,N,Y,45.5070202744557,-122.4200888255443
MLS Listing,,Single Family Residential,Gresham,OR,97030,349000,3.0,1.5,Birdsdale-Wallula,1820.0,9147.0,1984.0,14.0,192.0,,Active,,,RMLS,18374059,N,Y,45.53947809255525,-122.42220960744476
MLS Listing,,Single Family Residential,Gresham,OR,97030,359000,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2078.0,7840.0,1987.0,21.0,173.0,,Active,,,RMLS,18307805,N,Y,45.520632447418,-122.39752655258201
MLS Listing,,Single Family Residential,Gresham,OR,97030,324000,3.0,2.0,GRESHAM - NORTHWEST,1990.0,8276.0,1917.0,35.0,163.0,,Active,,,RMLS,18521400,N,Y,45.51834807143844,-122.42107472856156
MLS Listing,,Townhouse,Gresham,OR,97080,265000,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",1500.0,1742.0,2001.0,41.0,177.0,135.0,Active,,,RMLS,18049201,N,Y,45.49042405170418,-122.36683064829582
MLS Listing,,Single Family Residential,Gresham,OR,97080,624900,6.0,3.5,"Gresham, Sandy, Troutdale, Corbett",4871.0,9147.0,1988.0,104.0,128.0,,Active,,,RMLS,18098360,N,Y,45.4629984313369,-122.45056646866308
