SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Tigard,OR,97224,514900,5.0,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2712.0,4791.0,2008.0,35.0,190.0,33.0,Active,,,RMLS,18385412,N,Y,45.39910608452597,-122.86030551547404
MLS Listing,,Single Family Residential,Tigard,OR,97224,769900,4.0,3.5,Mountain Gate,3800.0,17859.0,1987.0,55.0,203.0,7.0,Active,,,RMLS,18065316,N,Y,45.41424953445655,-122.81785526554344
MLS Listing,,Single Family Residential,Portland,OR,97224,395000,2.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",1296.0,5662.0,1990.0,1.0,305.0,75.0,Active,September-22-2018 01:00 PM,September-22-2018 03:00 PM,RMLS,18432519,N,Y,45.421666693527925,-122.78585470647208
MLS Listing,,Single Family Residential,Tigard,OR,97223,517999,4.0,2.5,KERRON'S Crest,2323.0,8276.0,1994.0,1.0,223.0,,Active,September-22-2018 01:00 PM,September-22-2018 03:00 PM,RMLS,18341750,N,Y,45.42926036353495,-122.84134843646505
MLS Listing,,Condo/Co-op,Tigard,OR,97224,179900,1.0,1.0,"Tigard, Tualatin, Sherwood, Wilsonville",816.0,,1990.0,1.0,220.0,300.0,Active,,,RMLS,18133742,N,Y,45.41838097390915,-122.79394762609083
MLS Listing,,Single Family Residential,Tigard,OR,97224,428500,3.0,3.5,"Tigard, Tualatin, Sherwood, Wilsonville",2212.0,3920.0,2000.0,1.0,194.0,97.0,Active,,,RMLS,18281614,N,Y,45.41666231710498,-122.80534558289501
MLS Listing,,Single Family Residential,Tigard,OR,97224,624900,6.0,3.5,"Tigard, Tualatin, Sherwood, Wilsonville",3809.0,4791.0,2006.0,2.0,164.0,125.0,Active,,,RMLS,18599482,N,Y,45.437936316406386,-122.81961788359361
MLS Listing,,Single Family Residential,Tigard,OR,97224,575000,4.0,4.0,"Tigard, Tualatin, Sherwood, Wilsonville",2717.0,16988.0,1973.0,2.0,212.0,,Active,September-22-2018 12:00 PM,September-22-2018 03:00 PM,RMLS,18315209,N,Y,45.41581561185122,-122.81811318814879
MLS Listing,,Single Family Residential,Portland,OR,97219,569000,4.0,3.0,"Portland West, Raleigh Hills",2391.0,10890.0,1938.0,3.0,238.0,,Active,,,RMLS,18327589,N,Y,45.48728982822846,-122.71841707177154
MLS Listing,,Single Family Residential,Tigard,OR,97223,385000,3.0,2.5,Scholls Meadows,1862.0,4791.0,1997.0,6.0,207.0,19.0,Active,,,RMLS,18333515,N,Y,45.43776551880888,-122.82075758119112
