,X,Y,ProgramName,ProjectTitle,DamageExtent,ID
100,-118.3309675160194,34.00466932938916,Municipal Facilities R and P,Manchester Jr Arts/Vision Theater - Phases 2 & 3 a,29,1830
101,-118.3184347836854,33.98968875623386,Municipal Facilities R and P,Van Ness RC - Swimming Pool Imp.,11,20586
102,-118.31838008467928,33.989535655121195,Municipal Facilities R and P,Van Ness RC - Swimming Pool Imp.,11,20587
103,-118.35156331097757,34.022660082720485,Municipal Facilities R and P,Rancho Cienega Sports Complex (Celes King III),31,20843
104,-118.43236069275943,33.92808935859609,Wastewater - TPP,HWRP- Digester Corrosion Rehabilitation,86,20821
105,-118.48184035585822,34.18001338668953,Wastewater - TPP,DCTWRP- Primary Tank HPE Piping Replacement,92,20882
106,-118.481863010619,34.17996081592697,Wastewater - TPP,DCTWRP-  Chemical Lines Upgrade,76,28018
107,-118.43263513178621,33.92803828986745,Wastewater - TPP,HWRP- FeCl2 Injection Facility Replacement,88,27842
108,-118.43262768216199,33.92825776028382,Wastewater - TPP,HWRP- FeCl2 Injection Facility Replacement,88,27839
109,-118.48004220931236,34.17925961303605,Wastewater - TPP,DCTWRP- Berm Improvements,63,28019
110,-118.43279337572693,33.92820468593933,Wastewater - TPP,"HWRP- Primary Tanks B0, B5 & C0 Upgrades",98,27843
111,-118.43292554109804,33.92830917012925,Wastewater - TPP,HWRP- Primary Tanks Skimmer Improvements,26,27844
112,-118.4331593539798,33.92814851564657,Wastewater - TPP,HWRP- Plant Perimeter Road Improvements,81,27847
113,-118.48022436864572,34.17999357363045,Wastewater - TPP,DCTWRP- Chlorine Contact Tank Gate Actuators,43,28023
114,-118.48236993446395,34.180268883861466,Wastewater - TPP,DCTWRP- Niwa Road Sewer Installation,53,28005
115,-118.48011606676005,34.17962666173357,Wastewater - TPP,DCTWRP- Niwa Road Parking,73,28006
116,-118.48177775931283,34.18010666426741,Wastewater - TPP,DCTWRP- Screw Pumps Procurement,98,20906
117,-118.48212856307795,34.180219762973906,Wastewater - TPP,DCTWRP- Administration Bldg. HVAC Replacement,84,20896
118,-118.27312279053105,34.14030213174828,Wastewater - TPP,LAGWRP- Dechlorination Chamber Improvements,65,27896
119,-118.27308151295445,34.14083891506491,Wastewater - TPP,LAGWRP Sodium Bisulfite Facility Improvements,87,27824
120,-118.27316264090756,34.140206627918374,Wastewater - TPP,LAGWRP- Adminstration Bldg. HVAC Replacement,42,27897
121,-118.26267913595787,33.744988822167244,Wastewater - TPP,TIWRP- Blowers Procurement,69,27919
122,-118.2609142051478,33.74486147712009,Wastewater - TPP,TIWRP- Aeration System Procurement,68,27920
123,-118.26144805270586,33.744834069235736,Wastewater - TPP,TIWRP- AWPF MF  System Package Procurement,81,20832
