,X,Y,ProgramName,ProjectTitle,DamageExtent,ID
175,-118.34744267787546,34.083522497610026,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28676
176,-118.34636610779587,34.083488741535355,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28678
177,-118.34160216140968,34.08344660139681,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28679
178,-118.34062520597145,34.083456994129065,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28681
179,-118.3320639295012,34.083473200199144,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28684
180,-118.33097225653894,34.08347237885571,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28685
181,-118.32771566588563,34.083488886600534,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28688
182,-118.32661486568598,34.083499501916336,Wastewater - CSP,LCIS Units 7-8 Rehabilitation - Alta Vista to Vine,53,28689
183,-118.43307158334575,33.92833011290617,Wastewater - TPP,HTP- Main Switchyard - DGUP Autosynchronization,71,28701
184,-118.44825588617506,34.243910455067955,Municipal Facilities R and P,Mid Valley IGMPC Park Public Works Improvements,80,29657
185,-118.2130713956598,34.04335211958245,Street Improvement,ATP SRTS Sheridan ES & Breed St. ES,96,29791
186,-118.27309318903019,34.140900904273074,Wastewater - TPP,LAGWRP- Tertiary Filter Upgrade,44,29213
187,-118.27312172889619,34.140855518810355,Wastewater - TPP,LAGWRP- Sodium Hypochlorite Facility Relocation,42,29215
188,-118.33069459177112,34.11417375960105,Hillside Slope Stability,Holly Drive (2348) On-slope Rockfall Mitigation,98,29222
189,-118.32266539246142,34.123832132134446,Hillside Slope Stability,Rodgerton Drive (6416) Retaining Wall Replacement ,84,29226
190,-118.31495184895708,34.13472983299255,Hillside Slope Stability,"Mt. Lee Drive, 1/3 Mi. n/o Mulholland Highway Bulk",3,29227
191,-118.59121321326379,34.16130688342802,Hillside Slope Stability,San Miguel Street (21050) Subsidence Street Repair,34,29224
192,-118.48181775497513,34.18007549193079,Wastewater - TPP,DCTWRP- LAB Building Roof Fall Protection System,66,29219
193,-118.26132632676115,33.74517304502437,Wastewater - TPP,TIWRP- Admin Building Refurbishment,63,29220
194,-118.26120572565614,33.74495148276277,Wastewater - TPP,TIWRP- Final Tanks Skimmer System Upgrade,97,29221
195,-118.46786133789078,33.978481419988704,Municipal Facilities R and P,Venice Beach Pier Maintenance and Repair,97,32206
196,-118.20087044934976,34.058984042733314,Municipal Facilities R and P,Hazard Park Outdoor Development,47,31580
197,-118.61969282482141,34.19437877518613,Municipal Facilities R and P,Shadow Ranch Ballfield Improvements,42,30019
198,-118.27304876236158,34.140538302396784,Wastewater - TPP,LAGWRP - Primary Effluent Equalization Storage,97,30031
