,X,Y,ProgramName,ProjectTitle,DamageExtent,ID
125,-118.19919465146599,34.066936489777355,Municipal Facilities R and P,Lincoln Pool & Bathhouse Replacement,35,32331
126,-118.19923756706929,34.06693648931424,Municipal Facilities R and P,Lincoln Pool & Bathhouse Replacement,35,32332
127,-118.43201485727042,33.9281669305048,Wastewater - TPP,HWRP- Digester Battery E Improvements,98,20818
128,-118.43186019169701,33.92813885829884,Wastewater - TPP,HWRP- Digester Battery E Improvements,98,20819
129,-118.43255721648352,33.92846553405845,Wastewater - TPP,HWRP- Replace Ferric Chloride Facility,97,27869
130,-118.43239794500461,33.92809876859791,Wastewater - TPP,HWRP- Headworks Fire Sprinkler Rehabilitation & Re,91,27872
131,-118.43127347894979,33.92756133593137,Wastewater - TPP,HWRP- Parking Structure Crack Repair & Sprinkler R,85,27873
132,-118.26095671393229,33.74475642911548,Wastewater - TPP,TIWRP- Site & Drainage Improvements,86,28004
133,-118.26192939459709,33.744453783922374,Wastewater - TPP,TIWRP- Phase I AWPF Membrane Replacement,78,27927
134,-118.2609512456152,33.74483514769814,Wastewater - TPP,TIWRP- Digester Gas Utilization System,28,27989
135,-118.26102593008316,33.74498048848105,Wastewater - TPP,TIWRP- AWPF Emergency Generators,59,27990
136,-118.2620408662978,33.74449170188321,Wastewater - TPP,TIWRP- EPP Pump No. 3 Train Rehabilitation,24,27995
137,-118.27321396344877,34.140111097246944,Wastewater - TPP,LAGWRP- Maintenance Bldg. Locker Room Improvments,49,27912
138,-118.27316366215105,34.14051909800057,Wastewater - TPP,LAGWRP- Blower Air Cleanup System,65,27901
139,-118.27308869794818,34.14040477262005,Wastewater - TPP,LAGWRP- Cover Plates & Grating Replacement,98,27903
140,-118.27314195499365,34.14090079410073,Wastewater - TPP,LAGWRP- Secondary Clarifiers Rehabilitations,20,27905
141,-118.27309064639252,34.14100109652693,Wastewater - TPP,LAGWRP- Channel 4 Diversion Gate,16,27906
142,-118.48172725673979,34.180309617494196,Wastewater - TPP,DCTWRP- Influent Meter and Channel 2 Dump Gate Met,63,28026
143,-118.48108736585816,34.179835099644286,Wastewater - TPP,DCTWRP- Odor Masking Systems Replacement,99,28008
144,-118.48024544314691,34.1801652289925,Wastewater - TPP,DCTWRP- Chlorination System Improvements,82,28009
145,-118.48150689190578,34.179921685614694,Wastewater - TPP,DCTWRP- Administration Bldg Improvements,64,28031
146,-118.48177714024953,34.17999932024562,Wastewater - TPP,DCTWRP- Chlorine Contact Tanks HPE System Improvem,83,28012
147,-118.48025190856221,34.17929217902188,Wastewater - TPP,DCTWRP- Japanese Garden Electrical Sys. Improvemen,55,28013
148,-118.43311472726951,33.92837289233116,Wastewater - TPP,HWRP- Harrington Bldg Air Quality Improvements,98,20897
