,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
25,ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL,32.94400792,-85.95384969999999
61,ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL,33.6598269,-85.83162705
181,BIRMINGHAMAL.GOV,City,Non-Federal Agency,Birmingham,AL,33.52065875,-86.80248789
429,CITYOFIRONDALEAL.GOV,City,Non-Federal Agency,Irondale,AL,33.5381577,-86.70720885
448,CITYOFMILLBROOK-AL.GOV,City,Non-Federal Agency,Millbrook,AL,32.47985611,-86.36191849
626,DECATUR-AL.GOV,City,Non-Federal Agency,Decatur,AL,34.60592645,-86.98333584
641,DEMOPOLISAL.GOV,City,Non-Federal Agency,Demopolis,AL,32.51763926,-87.83639715
747,ENTERPRISEAL.GOV,City,Non-Federal Agency,Enterprise,AL,31.31516596,-85.85521845
765,FAIRHOPE-AL.GOV,City,Non-Federal Agency,Fairhope,AL,30.52296626,-87.90332871
932,GULFSHORESAL.GOV,City,Non-Federal Agency,Gulf Shores,AL,30.24603833,-87.70081968
934,GUNTERSVILLEAL.GOV,City,Non-Federal Agency,Guntersville,AL,34.35814693,-86.29469895
1020,HOOVERAL.GOV,City,Non-Federal Agency,Hoover,AL,33.40538798,-86.8113791
1021,HOOVERALABAMA.GOV,City,Non-Federal Agency,Hoover,AL,33.40538798,-86.8113791
1042,HUNTSVILLEAL.GOV,City,Non-Federal Agency,Huntsville,AL,34.7303674,-86.58609759
1177,LEEDSALABAMA.GOV,City,Non-Federal Agency,Leeds,AL,33.54815581,-86.54442679
1266,MADISONAL.GOV,City,Non-Federal Agency,Madison,AL,34.69925716,-86.7483262
1333,MENTONEALABAMA.GOV,City,Non-Federal Agency,Mentone,AL,34.57952729,-85.59051594
1394,MONTGOMERYAL.GOV,City,Non-Federal Agency,Montgomery,AL,32.36680814,-86.29996799
1399,MOODYALABAMA.GOV,City,Non-Federal Agency,Moody,AL,33.59093801,-86.49081855
1583,OPELIKA-AL.GOV,City,Non-Federal Agency,Opelika,AL,32.64540992,-85.37827877
1699,PRATTVILLE-AL.GOV,City,Non-Federal Agency,Prattville,AL,32.46401751,-86.45969931
1700,PRATTVILLEAL.GOV,City,Non-Federal Agency,Prattville,AL,32.46401751,-86.45969931
1733,REDBAY-AL.GOV,City,Non-Federal Agency,Red Bay,AL,34.43981919,-88.14086713
1839,SARDISCITYAL.GOV,City,Non-Federal Agency,SARDIS CITY,AL,34.17425725,-86.12274671
1866,SELMA-AL.GOV,City,Non-Federal Agency,Selma,AL,32.40735854,-87.02109649
1894,SMITHSSTATIONAL.GOV,City,Non-Federal Agency,Smiths Station,AL,32.54013726,-85.09854759999999
1990,SYLACAUGAAL.GOV,City,Non-Federal Agency,Sylacauga,AL,33.17316809,-86.25163777
1994,TALLASSEE-AL.GOV,City,Non-Federal Agency,Millbrook,AL,32.47985611,-86.36191849
2082,TRINITYAL.GOV,City,Non-Federal Agency,Trinity,AL,34.60675887,-87.08834753
2086,TROYAL.GOV,City,Non-Federal Agency,Troy,AL,31.80876766,-85.96994927
2104,TUSCALOOSA-AL.GOV,City,Non-Federal Agency,Tuscaloosa,AL,33.20983983,-87.56916586
2105,TUSKEGEEALABAMA.GOV,City,Non-Federal Agency,Tuskegee,AL,32.42402956,-85.69161747
2117,UNIONSPRINGSAL.GOV,City,Non-Federal Agency,Union Springs,AL,32.14431638,-85.7149479
