,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
102,AVONCT.GOV,City,Non-Federal Agency,Avon,CT,41.80981869,-72.83064722
170,BETHEL-CT.GOV,City,Non-Federal Agency,Bethel,CT,41.37120661,-73.41400696
218,BRANFORD-CT.GOV,City,Non-Federal Agency,Branford,CT,41.27953624,-72.81509659999999
232,BRIDGEPORTCT.GOV,City,Non-Federal Agency,Bridgeport,CT,41.16703723,-73.20482952
238,BRISTOLCT.GOV,City,Non-Federal Agency,Bristol,CT,41.67175744,-72.9492657
243,BROOKFIELDCT.GOV,City,Non-Federal Agency,Brookfield,CT,41.48258973,-73.40956585
413,CITYOFGROTON-CT.GOV,City,Non-Federal Agency,Groton,CT,41.35009898,-72.07840848
525,COLCHESTERCT.GOV,City,Non-Federal Agency,Colchester,CT,41.57564597,-72.33202847
613,DANBURY-CT.GOV,City,Non-Federal Agency,Danbury,CT,41.39481601,-73.45400841
619,DARIENCT.GOV,City,Non-Federal Agency,Darien,CT,41.07870557,-73.46928905
643,DERBYCT.GOV,City,Non-Federal Agency,Derby,CT,41.3206491,-73.0889963
690,EASTHAMPTONCT.GOV,City,Non-Federal Agency,East Hampton,CT,41.57592944,-72.50258584
693,EASTHARTFORDCT.GOV,City,Non-Federal Agency,East Hartford,CT,41.78231713,-72.61202962
699,EASTONCT.GOV,City,Non-Federal Agency,Easton,CT,41.25286711,-73.29733681
707,EASTWINDSOR-CT.GOV,City,Non-Federal Agency,Broad Brook,CT,41.91231959,-72.54508906
721,EHALERTCT.GOV,City,Non-Federal Agency,East Hartford,CT,41.78231713,-72.61202962
730,ELLINGTON-CT.GOV,City,Non-Federal Agency,Ellington,CT,41.90398633,-72.46980624
743,ENFIELD-CT.GOV,City,Non-Federal Agency,Enfield,CT,41.97620942,-72.59175892
750,ESSEXCT.GOV,City,Non-Federal Agency,Essex,CT,41.35342869,-72.39063577
874,GLASTONBURY-CT.GOV,City,Non-Federal Agency,Glastonbury,CT,41.71231684,-72.60814647
