,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
46,AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA,32.07238577,-84.23268943
89,ATLANTAGA.GOV,City,Non-Federal Agency,Atlanta,GA,33.74899999,-84.38797965
99,AUSTELLGA.GOV,City,Non-Federal Agency,Austell,GA,33.81260634,-84.63437779
188,BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,Blairsville,GA,34.87619946,-83.95823629
192,BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,Bloomingdale,GA,32.13241944,-81.29899926
222,BREMENGA.GOV,City,Non-Federal Agency,Bremen,GA,33.72121945,-85.14549643
245,BROOKHAVENGA.GOV,City,Non-Federal Agency,Dunwoody,GA,33.94620849,-84.33464588
305,CARROLLTON-GA.GOV,City,Non-Federal Agency,Carrollton,GA,33.58010747,-85.07660754
307,CARTERSVILLEGA.GOV,City,Non-Federal Agency,Cartersville,GA,34.16509606,-84.7999361
321,CEDARTOWNGEORGIA.GOV,City,Non-Federal Agency,Cedartown,GA,34.05370845,-85.25494922
333,CHAMBLEEGA.GOV,City,Non-Federal Agency,Chamblee,GA,33.89204679,-84.29880656
345,CHATSWORTHGA.GOV,City,Non-Federal Agency,Chatsworth,GA,34.76590975,-84.76993726
378,CITYOFALMAGA.GOV,City,Non-Federal Agency,Alma,GA,31.53936757,-82.46235753
383,CITYOFBLUERIDGEGA.GOV,City,Non-Federal Agency,Blue Ridge,GA,34.86396955,-84.32408982
385,CITYOFBOWMANGA.GOV,City,Non-Federal Agency,Bowman,GA,34.20482754,-83.03069759
386,CITYOFBRUNSWICK-GA.GOV,City,Non-Federal Agency,Brunswick,GA,31.14994962,-81.49148768
394,CITYOFCLAYTONGA.GOV,City,Non-Federal Agency,Clayton,GA,34.87814779,-83.40098773
400,CITYOFDALTON-GA.GOV,City,Non-Federal Agency,Dalton,GA,34.7697974,-84.97021898
401,CITYOFDOUGLASGA.GOV,City,Non-Federal Agency,Douglas,GA,31.50880628,-82.84986764
409,CITYOFFOLKSTON-GA.GOV,City,Non-Federal Agency,Folkston,GA,30.83050947,-82.00983718
416,CITYOFHAMPTON-GA.GOV,City,Non-Federal Agency,Hampton,GA,33.38705661,-84.28297697
420,CITYOFHIRAMGA.GOV,City,Non-Federal Agency,HIRAM,GA,33.87565925,-84.76215745
445,CITYOFMCCAYSVILLEGA.GOV,City,Non-Federal Agency,McCaysville,GA,34.9861877,-84.37130863
449,CITYOFMILLENGA.GOV,City,Non-Federal Agency,Millen,GA,32.80404784,-81.94927706
451,CITYOFMORROWGA.GOV,City,Non-Federal Agency,Morrow,GA,33.5831672,-84.33936597
486,CITYOFSTOCKBRIDGE-GA.GOV,City,Non-Federal Agency,Stockbridge,GA,33.54427715,-84.23380983
494,CITYOFWASHINGTONGA.GOV,City,Non-Federal Agency,Washington,GA,33.73678807,-82.73930795
499,CITYOFWOODBURYGA.GOV,City,Non-Federal Agency,Woodbury,GA,32.9837394,-84.58269987
504,CLARKSTONGA.GOV,City,Non-Federal Agency,Clarkston,GA,33.80954661,-84.23963681
558,CONYERSGA.GOV,City,Non-Federal Agency,Conyers,GA,33.66760671,-84.01768951
604,DACULAGA.GOV,City,Non-Federal Agency,Dacula,GA,33.98871622,-83.89795963
605,DAHLONEGA-GA.GOV,City,Non-Federal Agency,Dahlonega,GA,34.53258745,-83.98490992
607,DALLAS-GA.GOV,City,Non-Federal Agency,Dallas,GA,33.92370598,-84.84076997
623,DAWSONVILLE-GA.GOV,City,Non-Federal Agency,Dawsonville,GA,34.42120884,-84.11907901
661,DOUGLASVILLEGA.GOV,City,Non-Federal Agency,Douglasville,GA,33.75149727,-84.74770923
678,DUNWOODYGA.GOV,City,Non-Federal Agency,Dunwoody,GA,33.94620849,-84.33464588
729,ELLIJAY-GA.GOV,City,Non-Federal Agency,Ellijay,GA,34.69480706,-84.4821473
752,ETON-GA.GOV,City,Non-Federal Agency,Eton,GA,34.8250795,-84.76326885
856,GARDENCITY-GA.GOV,City,Non-Federal Agency,Garden City,GA,32.11436704,-81.15399963
917,GREENSBORO-GA.GOV,City,Non-Federal Agency,Greensboro,GA,33.57567987,-83.18237913
919,GREENSBOROGA.GOV,City,Non-Federal Agency,Greensboro,GA,33.57567987,-83.18237913
940,HAHIRAGA.GOV,City,Non-Federal Agency,Hahira,GA,30.9913072,-83.37265825
947,HAMPTONGA.GOV,City,Non-Federal Agency,Hampton,GA,33.38705661,-84.28297697
980,HAZLEHURSTGA.GOV,City,Non-Federal Agency,Hazlehurst,GA,31.86962926,-82.59429932
994,HIAWASSEEGA.GOV,City,Non-Federal Agency,Hiawassee,GA,34.94925948,-83.75738761
1008,HIRAM-GA.GOV,City,Non-Federal Agency,Hiram,GA,33.87565925,-84.76215745
1091,JESUPGA.GOV,City,Non-Federal Agency,Jesup,GA,31.60743753,-81.88538723
1092,JOHNSCREEKGA.GOV,City,Non-Federal Agency,Johns Creek,GA,34.02892915,-84.19857796
1106,KENNESAW-GA.GOV,City,Non-Federal Agency,Kennesaw,GA,34.02342614,-84.61548846
1112,KINGSLANDGA.GOV,City,Non-Federal Agency,Kingsland,GA,30.79995718,-81.68982558
1130,LAGRANGEGA.GOV,City,Non-Federal Agency,LaGrange,GA,33.03928697,-85.03132806
1138,LAKELANDGA.GOV,City,Non-Federal Agency,Lakeland,GA,33.76621996,-84.70493603
1214,LOCUSTGROVE-GA.GOV,City,Non-Federal Agency,Locust Grove,GA,33.34594825,-84.1090764
1219,LOGANVILLE-GA.GOV,City,Non-Federal Agency,Loganville,GA,33.8389965,-83.90073589
1243,LOVEJOY-GA.GOV,City,Non-Federal Agency,Lovejoy,GA,33.43621924,-84.31436618
1279,MANCHESTER-GA.GOV,City,Non-Federal Agency,Manchester,GA,32.85984739,-84.61992957
1290,MANSFIELDGA.GOV,City,Non-Federal Agency,Mans,GA,26.65749877,127.90666929999999
1319,MCDONOUGH-GA.GOV,City,Non-Federal Agency,McDonough,GA,33.44733776,-84.14685955
1387,MONROEGA.GOV,City,Non-Federal Agency,Monroe,GA,33.79483742,-83.71322853
1412,MOUNTAINPARK-GA.GOV,City,Non-Federal Agency,Mountain Park,GA,33.84426553,-84.1293561
1480,NEWNANGA.GOV,City,Non-Federal Agency,Newnan,GA,33.38066717,-84.79965712
1519,NORMANPARKGA.GOV,City,Non-Federal Agency,Norman Park,GA,31.26906755,-83.68711734
1676,POOLER-GA.GOV,City,Non-Federal Agency,Pooler,GA,32.11547844,-81.24705587
1725,RAYCITYGA.GOV,City,Non-Federal Agency,Ray City,GA,31.0746398,-83.19931563
1752,RICHMONDHILL-GA.GOV,City,Non-Federal Agency,Richmond Hill ,GA,31.93826617,-81.30343587
1762,RIVERDALEGA.GOV,City,Non-Federal Agency,Riverdale,GA,33.57260664,-84.41325841
1777,ROCKMART-GA.GOV,City,Non-Federal Agency,Rockmart,GA,34.00259748,-85.04160965
1824,SANDYSPRINGSGA.GOV,City,Non-Federal Agency,Sandy Springs,GA,33.92426843,-84.37853949
1844,SAVANNAHGA.GOV,City,Non-Federal Agency,Savannah,GA,32.08353578,-81.09982893
1896,SMYRNAGA.GOV,City,Non-Federal Agency,Smyrna,GA,33.88398801,-84.51437793
1947,STATESBOROGA.GOV,City,Non-Federal Agency,Statesboro,GA,32.44878637,-81.7831698
1959,STMARYSGA.GOV,City,Non-Federal Agency,ST. MARYS,GA,30.73050584,-81.5464863
1962,STOCKBRIDGEGA.GOV,City,Non-Federal Agency,Stockbridge,GA,33.54427715,-84.23380983
1993,TALLAPOOSAGA.GOV,City,Non-Federal Agency,Tallapoosa,GA,33.74454988,-85.28800778
1996,TALLULAHFALLSGA.GOV,City,Non-Federal Agency,Tallulah Falls,GA,34.73064638,-83.39432833
2009,TENNILLE-GA.GOV,City,Non-Federal Agency,Tennille,GA,32.93598963,-82.81152654
2079,TRENTONGA.GOV,City,Non-Federal Agency,trenton,GA,34.87201933,-85.50912716
2094,TUCKERGA.GOV,City,Non-Federal Agency,Tucker,GA,33.85454712,-84.21713881
2142,VIDALIAGA.GOV,City,Non-Federal Agency,VIDALIA,GA,32.21768687,-82.41345587
2184,WARNERROBINSGA.GOV,City,Non-Federal Agency,Warner Robins,GA,32.62097709,-83.59989708
2304,WOODSTOCKGA.GOV,City,Non-Federal Agency,Woodstock,GA,34.10148971,-84.51937699
2308,WRGA.GOV,City,Non-Federal Agency,Warner Robins,GA,32.62097709,-83.59989708
