,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
62,ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Lake Villa,IL,42.41696781,-88.07396706
77,ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL,39.7147596,-88.47227622
111,BARRINGTON-IL.GOV,City,Non-Federal Agency,Barrington,IL,42.15390765,-88.13618754
112,BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Barrington Hills,IL,42.14474647,-88.15562582
131,BECKEMEYERIL.GOV,City,Non-Federal Agency,Beckemeyer,IL,38.60559902,-89.43591971
159,BENTONIL.GOV,City,Non-Federal Agency,Benton,IL,37.99671755,-88.92006748
167,BERWYN-IL.GOV,City,Non-Federal Agency,Berwyn,IL,41.85058957,-87.79366894
234,BRIDGEVIEW-IL.GOV,City,Non-Federal Agency,Bridgeview,IL,41.75002799,-87.804216
240,BROADVIEW-IL.GOV,City,Non-Federal Agency,Broadview,IL,41.86391739,-87.85338764
244,BROOKFIELDIL.GOV,City,Non-Federal Agency,Brookfield ,IL,41.82391594,-87.85172729
263,BURBANKIL.GOV,City,Non-Federal Agency,Burbank,IL,41.73391942,-87.7794997
274,BURR-RIDGE.GOV,City,Non-Federal Agency,Burr Ridge,IL,41.74891659,-87.91838887
334,CHAMPAIGN-IL.GOV,City,Non-Federal Agency,Champaign,IL,40.11641646,-88.24337703
335,CHAMPAIGNIL.GOV,City,Non-Federal Agency,Champaign,IL,40.11641646,-88.24337703
357,CHICAGO-IL.GOV,City,Non-Federal Agency,Chicago,IL,41.85002712,-87.65004618
371,CITYKANKAKEE-IL.GOV,City,Non-Federal Agency,KANKAKEE,IL,41.1200299,-87.86114945
390,CITYOFCHAMPAIGN-IL.GOV,City,Non-Federal Agency,Champaign,IL,40.11641646,-88.24337703
391,CITYOFCHAMPAIGNIL.GOV,City,Non-Federal Agency,Champaign,IL,40.11641646,-88.24337703
443,CITYOFMARIONIL.GOV,City,Non-Federal Agency,Marion,IL,37.73060667,-88.93312982
498,CITYOFWHEATON-IL.GOV,City,Non-Federal Agency,Wheaton,IL,41.86613569,-88.10700763
522,COALCITY-IL.GOV,City,Non-Federal Agency,Coal City,IL,41.28780651,-88.28561928
597,CUBAASSESSORIL.GOV,City,Non-Federal Agency,Barrington,IL,42.15390765,-88.13618754
598,CUBATWPIL.GOV,City,Non-Federal Agency,Barrington,IL,42.15390765,-88.13618754
620,DARIENIL.GOV,City,Non-Federal Agency,Darien,IL,41.75197632,-87.97394994
627,DECATURIL.GOV,City,Non-Federal Agency,Decatur,IL,39.84030746,-88.95479990000001
628,DECATURILLINOIS.GOV,City,Non-Federal Agency,Decatur,IL,39.84030746,-88.95479990000001
803,FORSYTH-IL.GOV,City,Non-Federal Agency,Forsyth,IL,39.93253577,-88.95118672
849,GALESBURG-IL.GOV,City,Non-Federal Agency,Galesburg,IL,40.94781668,-90.37123821
854,GALVAIL.GOV,City,Non-Federal Agency,Galva,IL,41.16753668,-90.04260987
903,GRANTFORKIL.GOV,City,Non-Federal Agency,Highland,IL,38.73948914,-89.67119933
992,HEYWORTH-IL.GOV,City,Non-Federal Agency,Heyworth,IL,40.31336848,-88.97368923
999,HIGHLANDIL.GOV,City,Non-Federal Agency,Highland,IL,38.73948914,-89.67119933
1016,HOMERGLENIL.GOV,City,Non-Federal Agency,Homer Glen,IL,41.6000293,-87.93810612
1017,HOMEWOODIL.GOV,City,Non-Federal Agency,Homewood,IL,41.5572561,-87.6655968
1019,HOOPESTON-IL.GOV,City,Non-Federal Agency,Hoopeston,IL,40.46725932,-87.66835956
1024,HOPKINSPARK-IL.GOV,City,Non-Federal Agency,Hopkins Park,IL,41.06336643,-87.6250284
1057,INDIANHEADPARK-IL.GOV,City,Non-Federal Agency,Indian Head Park,IL,41.77030769,-87.9022758
1065,INVERNESS-IL.GOV,City,Non-Federal Agency,Inverness,IL,42.11807733,-88.09618609
1157,LASALLE-IL.GOV,City,Non-Federal Agency,LaSalle,IL,41.26669888,-88.88340924
1202,LINCOLNIL.GOV,City,Non-Federal Agency,Lincoln,IL,40.14837712,-89.36481702
1203,LINCOLNSHIREIL.GOV,City,Non-Federal Agency,Lincolnshire,IL,42.19001695,-87.90839976
1246,LOVINGTON-IL.GOV,City,Non-Federal Agency,Lovington,IL,39.71558753,-88.63255649999999
1261,LYONSTOWNSHIPIL.GOV,City,Non-Federal Agency,Countryside,IL,41.78280758,-87.87810844
1269,MAHOMET-IL.GOV,City,Non-Federal Agency,Mahomet,IL,40.19530796,-88.40421976
1307,MAROAILLINOIS.GOV,City,Non-Federal Agency,Maroa,IL,40.03642705,-88.9570272
1308,MARSHALL-IL.GOV,City,Non-Federal Agency,Marshall,IL,39.39142729,-87.69363831
1408,MORTON-IL.GOV,City,Non-Federal Agency,Morton,IL,40.61281691,-89.45925914
1418,MOUNTPROSPECT-IL.GOV,City,Non-Federal Agency,Mount Prospect,IL,42.06641742,-87.93728719
1419,MOUNTPROSPECTIL.GOV,City,Non-Federal Agency,Mount Prospect,IL,42.06641742,-87.93728719
