,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
84,ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY,38.47840881,-82.63793645
145,BELLEMEADE-KY.GOV,City,Non-Federal Agency,Louisville,KY,38.2542387,-85.75940845
160,BEREAKY.GOV,City,Non-Federal Agency,Berea,KY,37.56868854,-84.29631829
213,BOWLINGGREENKY.GOV,City,Non-Federal Agency,Bowling Green,KY,36.99031886,-86.44359974
523,COALRUNKY.GOV,City,Non-Federal Agency,Pikeville,KY,37.47926797,-82.51875552
527,COLDSPRINGKY.GOV,City,Non-Federal Agency,COLD SPRING,KY,39.0217266,-84.43993654
566,CORBIN-KY.GOV,City,Non-Federal Agency,Corbin,KY,36.94869755,-84.09687798
585,COVINGTONKY.GOV,City,Non-Federal Agency,Covington,KY,39.0836681,-84.50854645
663,DRUIDHILLSKY.GOV,City,Non-Federal Agency,Louisville,KY,38.2542387,-85.75940845
795,FLORENCE-KY.GOV,City,Non-Federal Agency,Florence,KY,38.99894962,-84.62660698
867,GEORGETOWNKY.GOV,City,Non-Federal Agency,Georgetown,KY,38.20979615,-84.55882949
879,GLENVIEWKY.GOV,City,Non-Federal Agency,Glenview,KY,38.3083959,-85.65023914
979,HAZARDKY.GOV,City,Non-Federal Agency,Hazard,KY,37.24953636,-83.19322767
998,HIGHLANDHEIGHTS-KY.GOV,City,Non-Federal Agency,Highland Heights,KY,39.03311959,-84.45188748
1025,HOPKINSVILLE-KY.GOV,City,Non-Federal Agency,Hopkinsville,KY,36.86559893,-87.48861851
1087,JEFFERSONTOWNKY.GOV,City,Non-Federal Agency,Jeffersontown,KY,38.19423653,-85.56439576
1191,LEXINGTONKY.GOV,City,Non-Federal Agency,lexington,KY,37.98868577,-84.47771969
1222,LONDONKY.GOV,City,Non-Federal Agency,London,KY,37.12897856,-84.08325769
1241,LOUISVILLEKY.GOV,City,Non-Federal Agency,Louisville,KY,38.2542387,-85.75940845
1300,MARIONKY.GOV,City,Non-Federal Agency,Marion,KY,37.33282847,-88.08112593
1317,MAYFIELDKY.GOV,City,Non-Federal Agency,Mayfield,KY,36.74171592,-88.63671863
1403,MOREHEAD-KY.GOV,City,Non-Federal Agency,Morehead,KY,37.27114794,-87.17637771
1432,MURRAYKY.GOV,City,Non-Federal Agency,Murray,KY,36.61032758,-88.3147587
1486,NEWPORTKY.GOV,City,Non-Federal Agency,Newport,KY,39.09144791,-84.49577659
1598,PADUCAHKY.GOV,City,Non-Federal Agency,Paducah,KY,37.0833886,-88.60004688
1643,PIKEVILLEKY.GOV,City,Non-Federal Agency,Pikeville,KY,37.47926797,-82.51875552
1848,SCIENCEHILL-KY.GOV,City,Non-Federal Agency,Science Hill,KY,37.17701629,-84.63577716
1876,SHIVELYKY.GOV,City,Non-Federal Agency,Shively,KY,38.20006801,-85.82273583
1961,STMATTHEWSKY.GOV,City,Non-Federal Agency,Louisville,KY,38.2542387,-85.75940845
2000,TAYLORMILLKY.GOV,City,Non-Federal Agency,Taylor Mill,KY,38.99755924,-84.49632554
2024,TOMPKINSVILLEKY.GOV,City,Non-Federal Agency,Tompkinsville,KY,36.70227692,-85.69163997
2227,WESTBUECHELKY.GOV,City,Non-Federal Agency,WEST BUECHEL,KY,38.19700828,-85.66328798
