,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
5,ABERDEENMD.GOV,City,Non-Federal Agency,Aberdeen,MD,39.50955981,-76.16411792
108,BALTIMORECITY.GOV,City,Non-Federal Agency,Baltimore,MD,39.29037976,-76.61218816
162,BERLINMD.GOV,City,Non-Federal Agency,Berlin,MD,38.32261913,-75.21768990000001
168,BERWYNHEIGHTSMD.GOV,City,Non-Federal Agency,Berwyn Heights,MD,38.99399556,-76.91052968
226,BRENTWOODMD.GOV,City,Non-Federal Agency,Brentwood,MD,38.94316807,-76.95663709
265,BURKITTSVILLE-MD.GOV,City,Non-Federal Agency,Burkittsville,MD,39.39370859,-77.62887744
316,CECILTONMD.GOV,City,Non-Federal Agency,Cecilton ,MD,39.40399918,-75.86743675
348,CHESAPEAKEBEACHMD.GOV,City,Non-Federal Agency,Chesapeake Beach,MD,38.68622737,-76.53467804
349,CHESAPEAKECITY-MD.GOV,City,Non-Federal Agency,Chesapeake City,MD,39.53094641,-75.80743907
355,CHEVERLY-MD.GOV,City,Non-Federal Agency,Cheverly,MD,38.9281664,-76.91580772
356,CHEVYCHASEVILLAGEMD.GOV,City,Non-Federal Agency,Chevy Chase,MD,38.97121858,-77.07636697
384,CITYOFBOWIEMD.GOV,City,Non-Federal Agency,Bowie,MD,38.9427766,-76.73027568
398,CITYOFCRISFIELD-MD.GOV,City,Non-Federal Agency,Crisfield,MD,37.98345723,-75.85381645
472,CITYOFPOCOMOKEMD.GOV,City,Non-Federal Agency,Pocomoke City,MD,38.07567655,-75.56797932
531,COLLEGEPARKMD.GOV,City,Non-Federal Agency,College Park,MD,38.98066774,-76.93691984
580,COTTAGECITYMD.GOV,City,Non-Federal Agency,Cottage City,MD,38.93816901,-76.94830833
601,CUMBERLANDMD.GOV,City,Non-Federal Agency,Cumberland,MD,39.65286759,-78.76251584
700,EASTONMD.GOV,City,Non-Federal Agency,Easton,MD,38.77427556,-76.07632621
720,EDMONSTONMD.GOV,City,Non-Federal Agency,Edmonston,MD,38.94677675,-76.93108836
739,EMMITSBURGMD.GOV,City,Non-Federal Agency,Emmitsburg,MD,39.70453651,-77.32692723
767,FAIRMOUNTHEIGHTSMD.GOV,City,Non-Federal Agency,Fairmount Heights,MD,38.90094831,-76.91552874
801,FORESTHEIGHTSMD.GOV,City,Non-Federal Agency,Forest Heights,MD,38.80955692,-76.99802892
838,FRIENDSHIPHEIGHTSMD.GOV,City,Non-Federal Agency,Chevy Chase,MD,38.97121858,-77.07636697
861,GARRETTPARK-MD.GOV,City,Non-Federal Agency,Garrett Park,MD,39.03815914,-77.09302899
862,GARRETTPARKMD.GOV,City,Non-Federal Agency,Garrett Park,MD,39.03815914,-77.09302899
910,GREENBELTMD.GOV,City,Non-Federal Agency,Greenbelt,MD,39.00454712,-76.87552729
945,HAMPSTEADMD.GOV,City,Non-Federal Agency,Hampstead,MD,39.60482985,-76.84997856
974,HAVREDEGRACEMD.GOV,City,Non-Federal Agency,Havre de Grace,MD,39.54927778,-76.09161585
1044,HURLOCK-MD.GOV,City,Non-Federal Agency,Hurlock,MD,38.62427687,-75.85437890000001
1282,MANCHESTERMD.GOV,City,Non-Federal Agency,MANCHESTER,MD,39.66120985,-76.88497645
1469,NEWCARROLLTONMD.GOV,City,Non-Federal Agency,New Carrollton,MD,38.9698282,-76.8799684
1498,NEWWINDSORMD.GOV,City,Non-Federal Agency,New Windsor,MD,39.54204693,-77.10803966
1569,OCEANCITYMD.GOV,City,Non-Federal Agency,Ocean City ,MD,38.3364959,-75.08490669
1669,POCOMOKEMD.GOV,City,Non-Federal Agency,Pocomoke City,MD,38.07567655,-75.56797932
1677,POOLESVILLEMD.GOV,City,Non-Federal Agency,Poolesville,MD,39.14593807,-77.41692825
1764,RIVERDALEPARKMD.GOV,City,Non-Federal Agency,Riverdale,MD,39.09927722,-76.53579844
1774,ROCKHALLMD.GOV,City,Non-Federal Agency,Rock Hall,MD,39.13816726,-76.23494613
1781,ROCKVILLEMD.GOV,City,Non-Federal Agency,Rockville,MD,39.08399657,-77.15275669
1857,SEATPLEASANTMD.GOV,City,Non-Federal Agency,Seat Pleasant,MD,38.89621923,-76.90663753
2122,UPPERMARLBOROMD.GOV,City,Non-Federal Agency,Upper Marlboro,MD,38.81594636,-76.74968696
2177,WALKERSVILLEMD.GOV,City,Non-Federal Agency,Walkersville,MD,39.48620688,-77.35192702
2243,WESTMINSTERMD.GOV,City,Non-Federal Agency,Westminster,MD,39.57537997,-76.99580612
2275,WILLIAMSPORTMD.GOV,City,Non-Federal Agency,WILLIAMSPORT,MD,39.60064972,-77.82054693
