,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
28,ALFREDME.GOV,City,Non-Federal Agency,Alfred,ME,43.47646629,-70.71838616
93,AUBURNMAINE.GOV,City,Non-Federal Agency,Auburn,ME,44.09784765,-70.2311694
96,AUGUSTAMAINE.GOV,City,Non-Federal Agency,Augusta,ME,44.31061577,-69.77948598
97,AUGUSTAME.GOV,City,Non-Federal Agency,Augusta,ME,44.31061577,-69.77948598
109,BANGORMAINE.GOV,City,Non-Federal Agency,Bangor,ME,44.80117574,-68.77780736
257,BUCKSPORTMAINE.GOV,City,Non-Federal Agency,Bucksport,ME,44.57368943,-68.79558979
288,CAMDENMAINE.GOV,City,Non-Federal Agency,Camden,ME,44.20979772,-69.0647559
587,CRANBERRYISLES-ME.GOV,City,Non-Federal Agency,Islesford,ME,44.26202908,-68.23389563
624,DAYTON-ME.GOV,City,Non-Federal Agency,Dayton,ME,43.54971979,-70.57555984
703,EASTPORT-ME.GOV,City,Non-Federal Agency,Eastport,ME,44.90618742,-66.98997651
712,EDDINGTONMAINE.GOV,City,Non-Federal Agency,Eddington,ME,44.82617552,-68.69336786
731,ELLSWORTHMAINE.GOV,City,Non-Federal Agency,Ellsworth,ME,44.54340712,-68.41945916
944,HAMPDENMAINE.GOV,City,Non-Federal Agency,Hampden,ME,44.74451677,-68.83697711
1105,KENNEBUNKPORTME.GOV,City,Non-Federal Agency,Kennebunkport,ME,43.36174897,-70.47671711
1120,KITTERYME.GOV,City,Non-Federal Agency,Kittery,ME,43.08813725,-70.73615958
1190,LEWISTONMAINE.GOV,City,Non-Federal Agency,Lewiston,ME,44.10034943,-70.21477735
1253,LYMAN-ME.GOV,City,Non-Federal Agency,Lyman,ME,45.9983755,-68.35613628
1558,OAKLAND-ME.GOV,City,Non-Federal Agency,Oakland,ME,44.54033839,-69.72198558
1593,OTISFIELDME.GOV,City,Non-Federal Agency,OTISFIELD,ME,44.14839617,-70.56394637
1689,PORTLANDMAINE.GOV,City,Non-Federal Agency,Portland,ME,43.66146738,-70.25532775
1703,PRESQUEISLEMAINE.GOV,City,Non-Federal Agency,Presque Isle,ME,46.68114942,-68.01585848
1776,ROCKLANDMAINE.GOV,City,Non-Federal Agency,Rockland,ME,44.10368813,-69.10892848
1779,ROCKPORTMAINE.GOV,City,Non-Federal Agency,Rockport,ME,44.18451896,-69.07614889
2198,WATERBORO-ME.GOV,City,Non-Federal Agency,East Waterboro,ME,43.57146636,-70.67894716
2203,WATERVILLE-ME.GOV,City,Non-Federal Agency,Waterville,ME,44.55200585,-69.63170559
2295,WINSLOW-ME.GOV,City,Non-Federal Agency,Winslow,ME,44.5470068,-69.62115853
