,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
23,ALBUQUERQUE-NM.GOV,City,Non-Federal Agency,Albuquerque,NM,35.08448598,-106.65113559999999
57,ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM,36.39308686,-105.28500729999999
76,ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM,32.84232594,-104.403297
104,AZTECNM.GOV,City,Non-Federal Agency,Aztec,NM,36.82222728,-107.99284899999999
140,BELEN-NM.GOV,City,Non-Federal Agency,Belen,NM,34.6628374,-106.7764179
164,BERNCO.GOV,City,Non-Federal Agency,Albuquerque,NM,35.08448598,-106.65113559999999
203,BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Bosque Farms,NM,34.85477686,-106.7052973
280,CABQ.GOV,City,Non-Federal Agency,Albuquerque,NM,35.08448598,-106.65113559999999
572,CORRALESNM.GOV,City,Non-Federal Agency,Corales,NM,35.23781887,-106.6066885
716,EDGEWOOD-NM.GOV,City,Non-Federal Agency,Edgewood,NM,35.06143902,-106.19140690000002
749,ESPANOLANM.GOV,City,Non-Federal Agency,Espanola,NM,35.99112853,-106.08057720000001
853,GALLUPNM.GOV,City,Non-Federal Agency,GALLUP,NM,35.52807912,-108.742577
1088,JEMEZSPRINGS-NM.GOV,City,Non-Federal Agency,Jemez Springs,NM,35.76863677,-106.6922574
1159,LASVEGASNM.GOV,City,Non-Federal Agency,Las Vegas,NM,35.59392627,-105.22389820000001
1236,LOSLUNASNM.GOV,City,Non-Federal Agency,Los Lunas,NM,34.80616768,-106.7333568
1237,LOSRANCHOSNM.GOV,City,Non-Federal Agency,Los Ranchos de Albuquerque,NM,35.1619871,-106.64279779999998
1339,MESILLANM.GOV,City,Non-Federal Agency,Mesilla,NM,32.27008922,-106.80083729999998
1406,MORIARTYNM.GOV,City,Non-Federal Agency,Moriarty,NM,34.99004836,-106.04918799999999
1410,MOUNTAINAIRNM.GOV,City,Non-Federal Agency,Mountainair,NM,34.52033954,-106.2411274
1684,PORTALESNM.GOV,City,Non-Federal Agency,Portales,NM,34.18618569,-103.33439890000001
1724,RATONNM.GOV,City,Non-Federal Agency,Raton,NM,36.90335958,-104.4391499
1761,RIORANCHONM.GOV,City,Non-Federal Agency,Rio Rancho,NM,35.23337777,-106.6644679
1797,ROSWELL-NM.GOV,City,Non-Federal Agency,Roswell,NM,33.39426947,-104.5230179
1804,RRNM.GOV,City,Non-Federal Agency,Rio Rancho,NM,35.23337777,-106.6644679
1805,RUIDOSO-NM.GOV,City,Non-Federal Agency,Ruidoso,NM,33.33174751,-105.67303940000001
1835,SANTAFENM.GOV,City,Non-Federal Agency,Santa Fe,NM,35.68697802,-105.9377959
1885,SILVERCITYNM.GOV,City,Non-Federal Agency,Silver City,NM,32.77007586,-108.2803285
1899,SOCORRONM.GOV,City,Non-Federal Agency,Socorro,NM,34.05839703,-106.89141869999999
1980,SUNLANDPARK-NM.GOV,City,Non-Federal Agency,Sunland Park,NM,31.79649725,-106.57998789999999
2271,WILLARDNM.GOV,City,Non-Federal Agency,Willard,NM,34.59589684,-106.0336284
