,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
21,ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY,42.6525759,-73.75622859
45,AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY,41.84925769,-73.55678829
52,AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY,42.93868751,-74.18818576
94,AUBURNNY.GOV,City,Non-Federal Agency,Auburn,NY,42.93172663,-76.56604925
122,BAYVILLENY.GOV,City,Non-Federal Agency,Bayville,NY,40.91064998,-73.56206632
134,BEDFORDNY.GOV,City,Non-Federal Agency,Bedford Hills,NY,41.23675854,-73.69457956
177,BIGFLATSNY.GOV,City,Non-Federal Agency,Big Flats,NY,42.13729963,-76.93690634
180,BINGHAMTON-NY.GOV,City,Non-Federal Agency,Binghamton,NY,42.09868855,-75.91796726
230,BREWSTERVILLAGE-NY.GOV,City,Non-Federal Agency,Brewster,NY,41.39731779,-73.61706944
246,BROOKHAVENNY.GOV,City,Non-Federal Agency,Farmingville,NY,40.83120953,-73.02954757
287,CAMBRIDGENY.GOV,City,Non-Federal Agency,Cambridge,NY,43.02812608,-73.38121837
293,CANANDAIGUANEWYORK.GOV,City,Non-Federal Agency,Canandaigua,NY,42.87422623,-77.28803719
318,CEDARHURST.GOV,City,Non-Federal Agency,cedarhurst,NY,40.62287801,-73.72429942
351,CHESTER-NY.GOV,City,Non-Federal Agency,Chester,NY,41.36258987,-74.27125739
454,CITYOFNEWBURGH-NY.GOV,City,Non-Federal Agency,Newburgh,NY,41.50342738,-74.01041553
470,CITYOFPLATTSBURGH-NY.GOV,City,Non-Federal Agency,Plattsburgh,NY,44.69948926,-73.45290601
475,CITYOFROCHESTER.GOV,City,Non-Federal Agency,Rochester,NY,43.15477634,-77.61555862
524,COHOES-NY.GOV,City,Non-Federal Agency,Cohoes,NY,42.77423611,-73.70011857
528,COLDSPRINGNY.GOV,City,Non-Federal Agency,Cold Spring ,NY,41.42008577,-73.95457999
568,CORNWALLNY.GOV,City,Non-Federal Agency,Cornwall,NY,45.01566721,-74.72570806
595,CROTONONHUDSON-NY.GOV,City,Non-Federal Agency,Croton-On-Hudson,NY,41.20842905,-73.89124811
682,DUTCHESSNY.GOV,City,Non-Federal Agency,Poughkeepsie,NY,41.7003659,-73.92096797
691,EASTHAMPTONNY.GOV,City,Non-Federal Agency,Amagansett,NY,40.97370738,-72.14368868
692,EASTHAMPTONVILLAGENY.GOV,City,Non-Federal Agency,East Hampton,NY,40.96342579,-72.18479704
713,EDENNY.GOV,City,Non-Federal Agency,Eden,NY,41.28870643,-74.49432959
722,EHAMPTONNY.GOV,City,Non-Federal Agency,East Hampton,NY,40.96342579,-72.18479704
761,FABIUS-NY.GOV,City,Non-Federal Agency,Fabius,NY,42.83506621,-75.98602822
784,FAYETTEVILLENY.GOV,City,Non-Federal Agency,Fayetteville,NY,43.02978643,-76.00435959999999
789,FISHKILL-NY.GOV,City,Non-Federal Agency,Fishkill,NY,41.53564902,-73.89902792
830,FREEPORTNY.GOV,City,Non-Federal Agency,Freeport,NY,40.65759693,-73.58317845
908,GREECENY.GOV,City,Non-Federal Agency,Rochester,NY,43.15477634,-77.61555862
916,GREENISLANDNY.GOV,City,Non-Federal Agency,Green Island,NY,42.74423727,-73.69150633
942,HAMILTON-NY.GOV,City,Non-Federal Agency,HAMILTON,NY,42.82700742,-75.54461739
964,HARRISON-NY.GOV,City,Non-Federal Agency,Harrison,NY,40.9689873,-73.71262746
981,HEADOFTHEHARBORNY.GOV,City,Non-Federal Agency,Saint James,NY,40.87898629,-73.15677828
1000,HIGHLANDS-NY.GOV,City,Non-Federal Agency,Highland Falls,NY,41.36925828,-73.96624745
1028,HORICONNY.GOV,City,Non-Federal Agency,Brant Lake,NY,43.67645555,-73.74956918
1040,HUNTINGTONNY.GOV,City,Non-Federal Agency,Huntington,NY,40.86814675,-73.42567892
1069,IRVINGTONNY.GOV,City,Non-Federal Agency,Irvington,NY,41.03921707,-73.86822815
1071,ISLIP-NY.GOV,City,Non-Federal Agency,Islip,NY,40.72981553,-73.21038653
1072,ISLIPNY.GOV,City,Non-Federal Agency,Islip,NY,40.72981553,-73.21038653
1073,ISLIPTOWN-NY.GOV,City,Non-Federal Agency,Islip,NY,40.72981553,-73.21038653
1111,KINDERHOOK-NY.GOV,City,Non-Federal Agency,Niverville,NY,42.44091919,-73.66094955
1114,KINGSTON-NY.GOV,City,Non-Federal Agency,Kingston,NY,41.92703779,-73.99735769
1127,LACKAWANNANY.GOV,City,Non-Federal Agency,Lackawanna,NY,42.82560805,-78.82336844
1131,LAGRANGENY.GOV,City,Non-Federal Agency,Lagrangeville,NY,41.65092879,-73.762906
1135,LAKEGROVENY.GOV,City,Non-Federal Agency,Lake Grove,NY,40.8528796,-73.11510748
1150,LANCASTERNY.GOV,City,Non-Federal Agency,Lancaster,NY,42.90060739,-78.67030553
1213,LOCKPORTNY.GOV,City,Non-Federal Agency,Lockport,NY,43.17060593,-78.69030625
1225,LONGBEACHNY.GOV,City,Non-Federal Agency,Long Beach,NY,40.58843807,-73.65790782
1274,MAMARONECK-NY.GOV,City,Non-Federal Agency,Mamaroneck,NY,40.9487076,-73.73262818
1275,MAMARONECKVILLAGENY.GOV,City,Non-Federal Agency,Mamaroneck,NY,40.9487076,-73.73262818
