,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
42,ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK,34.63812559,-99.33397938
185,BIXBYOK.GOV,City,Non-Federal Agency,Bixby,OK,35.94203788,-95.88331658
241,BROKENARROWOK.GOV,City,Non-Federal Agency,Broken Arrow,OK,36.05259757,-95.79081829
302,CARNEGIEOK.GOV,City,Non-Federal Agency,Carnegie,OK,35.10366778,-98.60366718
397,CITYOFCOWETA-OK.GOV,City,Non-Federal Agency,Coweta,OK,35.95176602,-95.65080871
414,CITYOFGROVEOK.GOV,City,Non-Federal Agency,Grove,OK,36.59368806,-94.76911645
484,CITYOFSPENCEROK.GOV,City,Non-Federal Agency,Spencer,OK,35.52283708,-97.37725601
501,CITYOFYUKONOK.GOV,City,Non-Federal Agency,Yukon,OK,35.50671951,-97.76253882
519,CLINTONOK.GOV,City,Non-Federal Agency,Clinton,OK,35.51560622,-98.96730691
672,DUNCANOK.GOV,City,Non-Federal Agency,Duncan,OK,34.50229614,-97.95780799
802,FORESTPARKOK.GOV,City,Non-Federal Agency,Forest Park,OK,35.50422673,-97.44614940000001
827,FREDERICKOK.GOV,City,Non-Federal Agency,Frederick,OK,34.39202893,-99.01840888
960,HARRAH-OK.GOV,City,Non-Federal Agency,Harrah,OK,35.48950854,-97.16363747
1049,IDABEL-OK.GOV,City,Non-Federal Agency,Idabel,OK,33.89565997,-94.82632887
1167,LAWTONOK.GOV,City,Non-Federal Agency,Lawton,OK,34.6086892,-98.39032761
1501,NICHOLSHILLS-OK.GOV,City,Non-Federal Agency,Nichols Hills,OK,35.55088759,-97.54892928
1504,NINNEKAHOK.GOV,City,Non-Federal Agency,NINNEKAH,OK,34.9478466,-97.923926
1518,NORMANOK.GOV,City,Non-Federal Agency,Norman,OK,35.22256973,-97.43947649
1550,NOWATAOK.GOV,City,Non-Federal Agency,Nowata,OK,36.70063907,-95.63802985
1641,PIEDMONT-OK.GOV,City,Non-Federal Agency,PIEDMONT,OK,35.64199551,-97.74642575
1675,PONCACITYOK.GOV,City,Non-Federal Agency,Ponca City,OK,36.706979,-97.08558739
1929,SPERRYOK.GOV,City,Non-Federal Agency,Sperry,OK,36.29730836,-95.99138799
2185,WARRACRES-OK.GOV,City,Non-Federal Agency,Warr Acres,OK,35.52255811,-97.61892956
