,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
4,TUALATIN.GOV,City,gov Helpdesk,Tualatin,OR,45.38400902,-122.76398970000001
129,BEAVERTONOREGON.GOV,City,Non-Federal Agency,Beaverton,OR,45.48705888,-122.8037077
155,BENDOREGON.GOV,City,Non-Federal Agency,Bend,OR,44.05816567,-121.31530729999999
329,CENTRALPOINTOREGON.GOV,City,Non-Federal Agency,Central Point,OR,42.37595845,-122.91642720000002
575,CORVALLISOREGON.GOV,City,Non-Federal Agency,Corvallis,OR,44.56456874,-123.2620371
609,DALLASOR.GOV,City,Non-Federal Agency,Dallas,OR,44.91927676,-123.31704920000001
610,DALLASOREGON.GOV,City,Non-Federal Agency,Dallas,OR,44.91927676,-123.31704920000001
612,DAMASCUSOREGON.GOV,City,Non-Federal Agency,Damascus,OR,45.41761654,-122.4589798
656,DONALDOREGON.GOV,City,Non-Federal Agency,Donald,OR,45.22233837,-122.8392591
753,EUGENE-OR.GOV,City,Non-Federal Agency,Eugene,OR,44.05206872,-123.08674609999998
769,FAIRVIEWOREGON.GOV,City,Non-Federal Agency,Fairview,OR,45.53844882,-122.43397549999999
774,FALLSCITYOREGON.GOV,City,Non-Federal Agency,Falls City,OR,44.86622647,-123.43593759999999
800,FORESTGROVE-OR.GOV,City,Non-Federal Agency,FOREST GROVE,OR,45.51983847,-123.110657
887,GOLDBEACHOREGON.GOV,City,Non-Federal Agency,GoldBeach,OR,42.40732967,-124.4217686
904,GRANTSPASSOREGON.GOV,City,Non-Federal Agency,Grants Pass,OR,42.43900686,-123.32838819999999
922,GRESHAMOREGON.GOV,City,Non-Federal Agency,Gresham,OR,45.49817739,-122.43147830000001
956,HAPPYVALLEYOR.GOV,City,Non-Federal Agency,Happy Valley,OR,45.44678745,-122.53036599999999
1004,HILLSBORO-OREGON.GOV,City,Non-Federal Agency,HILLSBORO,OR,45.5228892,-122.98982920000002
1097,JUNCTIONCITYOREGON.GOV,City,Non-Federal Agency,Junction City,OR,44.21928738,-123.20564809999999
1322,MCMINNVILLEOREGON.GOV,City,Non-Federal Agency,McMinnville,OR,45.21011745,-123.19871869999999
1374,MILWAUKIEOREGON.GOV,City,Non-Federal Agency,Milwaukie,OR,45.4462295,-122.63925630000001
1462,NEWBERGOREGON.GOV,City,Non-Federal Agency,Newberg,OR,45.30011847,-122.9731582
1489,NEWPORTOREGON.GOV,City,Non-Federal Agency,Newport,OR,44.63677833,-124.0534493
1640,PHOENIXOREGON.GOV,City,Non-Federal Agency,Phoenix,OR,42.27540587,-122.81808840000001
1690,PORTLANDOREGON.GOV,City,Non-Federal Agency,Portland,OR,45.52344715,-122.676207
1731,READYWESTLINNOR.GOV,City,Non-Federal Agency,West Linn,OR,45.36567765,-122.61230819999999
1874,SHERWOODOREGON.GOV,City,Non-Federal Agency,Sherwood,OR,45.35650746,-122.840096
1935,SPRINGFIELD-OR.GOV,City,Non-Federal Agency,Springfield,OR,44.04623723,-123.0220283
1948,STAYTONOREGON.GOV,City,Non-Federal Agency,Stayton,OR,44.80067629,-122.7945285
2016,TIGARD-OR.GOV,City,Non-Federal Agency,Tigard,OR,45.43122783,-122.7714861
2017,TILLAMOOKOR.GOV,City,Non-Federal Agency,Tillamook,OR,45.45621861,-123.8440064
2084,TROUTDALEOREGON.GOV,City,Non-Federal Agency,Troutdale,OR,45.53928574,-122.3873057
2093,TUALATINOREGON.GOV,City,Non-Federal Agency,TUALATIN,OR,45.38400902,-122.76398970000001
2132,VENETAOREGON.GOV,City,Non-Federal Agency,Veneta,OR,44.04872551,-123.3509267
2135,VERNONIA-OR.GOV,City,Non-Federal Agency,Vernonia,OR,45.8587169,-123.1928872
2239,WESTLINNOREGON.GOV,City,Non-Federal Agency,West Linn,OR,45.36567765,-122.61230819999999
2270,WILLAMINAOREGON.GOV,City,Non-Federal Agency,Willamina,OR,45.07872911,-123.4859372
2298,WOODBURN-OR.GOV,City,Non-Federal Agency,Woodburn,OR,45.14372584,-122.8553676
2316,YAMHILLCOUNTY-OR.GOV,City,Non-Federal Agency,McMinnville,OR,45.21011745,-123.19871869999999
