,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
32,ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA,40.63672779,-80.24005873
35,ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA,40.6084298,-75.49017672
41,ALTOONAPA.GOV,City,Non-Federal Agency,Altoona,PA,40.51867626,-78.39473648
69,ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA,41.49479714,-75.53684658
128,BEAVERPA.GOV,City,Non-Federal Agency,Beaver,PA,40.69533958,-80.30477649
144,BELLEFONTEPA.GOV,City,Non-Federal Agency,Bellefonte,PA,40.91338574,-77.77832718
156,BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem,PA,40.10454651,-74.95127754
172,BETHLEHEM-PA.GOV,City,Non-Federal Agency,Bethlehem,PA,40.62592874,-75.37045585
317,CECILTOWNSHIP-PA.GOV,City,Non-Federal Agency,Cecil,PA,40.32950855,-80.17088637
331,CHADDSFORDPA.GOV,City,Non-Federal Agency,Chadds Ford,PA,39.87177767,-75.59131875
332,CHAMBERSBURGPA.GOV,City,Non-Federal Agency,Chambersburg,PA,39.93758883,-77.66109908
354,CHESTNUTHILLTWP-PA.GOV,City,Non-Federal Agency,Brodheadsville,PA,40.92453575,-75.39378628
450,CITYOFMONONGAHELA-PA.GOV,City,Non-Federal Agency,Monongahela,PA,40.20312826,-79.92615758
453,CITYOFNANTICOKE-PA.GOV,City,Non-Federal Agency,Nanticoke,PA,41.20535583,-76.00491755
485,CITYOFSTMARYSPA.GOV,City,Non-Federal Agency,St. Marys,PA,41.42783858,-78.56085724
489,CITYOFTITUSVILLEPA.GOV,City,Non-Federal Agency,Titusville,PA,41.62699991,-79.67365799
493,CITYOFWARRENPA.GOV,City,Non-Federal Agency,Warren,PA,41.84394816,-79.14503590000001
532,COLLEGEVILLE-PA.GOV,City,Non-Federal Agency,Collegeville,PA,40.18565631,-75.45156565
573,CORRYPA.GOV,City,Non-Federal Agency,Corry,PA,41.92032888,-79.64032945
621,DAUGHERTYTOWNSHIP-PA.GOV,City,Non-Federal Agency,New Brighton,PA,40.73033748,-80.31005902
