,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
337,CHARLESTON-SC.GOV,City,Non-Federal Agency,Charleston,SC,32.77656878,-79.93091816
373,CITYOFAIKENSC.GOV,City,Non-Federal Agency,Aiken,SC,33.56041722,-81.71954994
389,CITYOFCAYCE-SC.GOV,City,Non-Federal Agency,Cayce,SC,33.96570976,-81.07397873
410,CITYOFGAFFNEY-SC.GOV,City,Non-Federal Agency,Gaffney,SC,35.07178811,-81.64981963
476,CITYOFROCKHILLSC.GOV,City,Non-Federal Agency,Rock Hill,SC,34.92486714,-81.02507707
483,CITYOFSPARTANBURG-SC.GOV,City,Non-Federal Agency,Spartanburg,SC,34.94956995,-81.93204809
542,COLUMBIASC.GOV,City,Non-Federal Agency,Columbia,SC,34.00070765,-81.03480970000001
808,FORTMILLSC.GOV,City,Non-Federal Agency,Fort Mill,SC,35.00736732,-80.94507867
921,GREENVILLESC.GOV,City,Non-Federal Agency,Greenville,SC,34.85261706,-82.39400859
949,HAMPTONSC.GOV,City,Non-Federal Agency,Hampton,SC,32.87793578,-81.12760947
970,HARTSVILLESC.GOV,City,Non-Federal Agency,Hartsville,SC,34.37403952,-80.07339802
1006,HILTONHEADISLANDSC.GOV,City,Non-Federal Agency,Hilton Head Island,SC,32.21631899,-80.75260825
1076,JACKSON-SC.GOV,City,Non-Federal Agency,Jackson,SC,33.32541658,-81.78788988
1254,LYMANSC.GOV,City,Non-Federal Agency,Lyman,SC,34.94816608,-82.12732626
1302,MARIONSC.GOV,City,Non-Federal Agency,Marion,SC,34.1782169,-79.40060872
1760,RIDGELANDSC.GOV,City,Non-Federal Agency,Ridgeland,SC,32.48073803,-80.98038703
1867,SENECASC.GOV,City,Non-Federal Agency,Seneca,SC,34.68565937,-82.95319647
1977,SUMMERVILLESC.GOV,City,Non-Federal Agency,Summerville,SC,33.01849881,-80.17564694
1979,SUMTERSC.GOV,City,Non-Federal Agency,Sumter,SC,33.92043927,-80.34146623
2004,TEGACAYSC.GOV,City,Non-Federal Agency,Tega Cay,SC,35.02430832,-81.02784882
2034,TOWNOFBLYTHEWOODSC.GOV,City,Non-Federal Agency,Blythewood,SC,34.2143172,-80.97397959999999
2054,TOWNOFNORTH-SC.GOV,City,Non-Federal Agency,North,SC,33.61570832,-81.10203824
2228,WESTCOLUMBIASC.GOV,City,Non-Federal Agency,West Columbia,SC,33.99348579,-81.07397873
