,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
63,APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT,40.61772597,-111.7938192
189,BLANDING-UT.GOV,City,Non-Federal Agency,Blanding,UT,37.62415961,-109.47817620000001
208,BOUNTIFULUTAH.GOV,City,Non-Federal Agency,Bountiful,UT,40.88938936,-111.8807695
253,BRYCECANYONCITYUT.GOV,City,Non-Federal Agency,Bryce Canyon City,UT,37.6738892,-112.15693700000001
905,GRANTSVILLEUT.GOV,City,Non-Federal Agency,Grantsville,UT,40.59993905,-112.4643992
951,HANKSVILLEUTAH.GOV,City,Non-Federal Agency,Hanksville,UT,38.37303716,-110.7140365
997,HIDEOUTUTAH.GOV,City,Non-Federal Agency,Hideout,UT,40.63803717,-111.4107592
1181,LEHI-UT.GOV,City,Non-Federal Agency,Lehi,UT,40.39161654,-111.8507662
1443,NAPLESCITYUT.GOV,City,Non-Federal Agency,Naples,UT,40.4269069,-109.4992973
1921,SOUTHJORDANUTAH.GOV,City,Non-Federal Agency,South Jordan,UT,40.5621694,-111.9296577
2001,TAYLORSVILLEUT.GOV,City,Non-Federal Agency,Taylorsville ,UT,40.66771654,-111.9388278
2028,TORREYUTAH.GOV,City,Non-Federal Agency,Torrey,UT,38.29886574,-111.41906999999999
2069,TOWNOFTROPICUT.GOV,City,Non-Federal Agency,Tropic,UT,37.62525752,-112.08213559999999
2253,WESTVALLEYCITY-UT.GOV,City,Non-Federal Agency,West Valley City,UT,40.69160942,-112.0010483
2310,WVC-UT.GOV,City,Non-Federal Agency,West Valley,UT,40.69160942,-112.0010483
