,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
7,ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA,36.70982725,-81.97734557
27,ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA,38.80483684,-77.04691708
39,ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA,37.11180808,-79.28557643
50,AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA,37.58513908,-79.05140821
64,APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA,37.35708581,-78.82528977
137,BEDFORDVA.GOV,City,Non-Federal Agency,Bedford,VA,37.33430884,-79.52308785
165,BERRYVILLEVA.GOV,City,Non-Federal Agency,Berryville,VA,39.15176956,-77.98221758
186,BLACKSBURG.GOV,City,Non-Federal Agency,Blacksburg,VA,37.22956713,-80.4139368
255,BUCHANAN-VA.GOV,City,Non-Federal Agency,BUCHANAN,VA,37.5273597,-79.67975945
341,CHARLOTTESVILLEVA.GOV,City,Non-Federal Agency,Charlottesville,VA,38.02930816,-78.47667871
343,CHATHAM-VA.GOV,City,Non-Federal Agency,Chatham,VA,36.82568747,-79.39807994
352,CHESTERFIELD.GOV,City,Non-Federal Agency,Chesterfield,VA,37.21485793,-79.98392796
363,CHINCOTEAGUE-VA.GOV,City,Non-Federal Agency,Chincoteague,VA,37.93317869,-75.37880711
516,CLIFTONFORGEVA.GOV,City,Non-Federal Agency,Clifton Forge,VA,37.81623857,-79.82448911
536,COLONIALHEIGHTSVA.GOV,City,Non-Federal Agency,Colonial Heights,VA,37.26803872,-77.40725861
600,CULPEPERVA.GOV,City,Non-Federal Agency,Culpeper,VA,38.47317577,-77.9966568
617,DANVILLE-VA.GOV,City,Non-Federal Agency,Danville,VA,36.58596674,-79.39501572
618,DANVILLEVA.GOV,City,Non-Federal Agency,Danville,VA,36.58596674,-79.39501572
670,DUMFRIESVA.GOV,City,Non-Federal Agency,Dumfries,VA,38.56761789,-77.32803864
726,ELKTONVA.GOV,City,Non-Federal Agency,Elkton,VA,38.40789557,-78.62362667
763,FAIRFAXVA.GOV,City,Non-Federal Agency,Fairfax,VA,38.84621967,-77.30636856
772,FALLSCHURCHCITYVA.GOV,City,Non-Federal Agency,Falls Church,VA,38.88232897,-77.17108806
773,FALLSCHURCHVA.GOV,City,Non-Federal Agency,Falls Church,VA,38.88232897,-77.17108806
828,FREDERICKSBURGVA.GOV,City,Non-Federal Agency,Fredericksburg,VA,38.30317636,-77.46053838
842,FRONTROYAL-VA.GOV,City,Non-Federal Agency,Front Royal,VA,38.91816829,-78.19443675
843,FRONTROYALVA.GOV,City,Non-Federal Agency,Front Royal,VA,38.91816829,-78.19443675
946,HAMPTON.GOV,City,Non-Federal Agency,Hampton,VA,37.02986585,-76.34521785
950,HAMPTONVA.GOV,City,Non-Federal Agency,Hampton,VA,37.02986585,-76.34521785
954,HANOVERVA.GOV,City,Non-Federal Agency,Hanover,VA,37.76652698,-77.37025839
965,HARRISONBURGVA.GOV,City,Non-Federal Agency,Harrisonburg,VA,38.44956637,-78.8689179
977,HAYSIVIRGINIA.GOV,City,Non-Federal Agency,Haysi,VA,37.20538628,-82.29402746
991,HERNDON-VA.GOV,City,Non-Federal Agency,Herndon,VA,38.96954923,-77.38609698
1023,HOPEWELLVA.GOV,City,Non-Federal Agency,HOPEWELL,VA,37.304319,-77.28719576
1033,HRPDCVA.GOV,City,Non-Federal Agency,Chesapeake,VA,36.81903706,-76.27493859
1179,LEESBURGVA.GOV,City,Non-Federal Agency,Leesburg,VA,39.11565576,-77.56359723
1194,LEXINGTONVA.GOV,City,Non-Federal Agency,Lexington,VA,37.78401693,-79.44281947
1245,LOVETTSVILLEVA.GOV,City,Non-Federal Agency,Lovettsville,VA,39.27259734,-77.63665725
