,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
3,MLTWA.GOV,City,gov Helpdesk,Mountlake Terrace,WA,47.78814568,-122.3087381
6,ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA,46.97536931,-123.81571740000001
30,ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA,47.27898887,-122.2520567
75,ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA,48.19870725,-122.1251364
95,AUBURNWA.GOV,City,Non-Federal Agency,Auburn,WA,47.30731835,-122.2284473
105,BAINBRIDGEWA.GOV,City,Non-Federal Agency,Bainbridge Island,WA,47.62620955,-122.52123629999998
126,BEAUXARTS-WA.GOV,City,Non-Federal Agency,Beaux Arts,WA,47.58532618,-122.1983179
148,BELLEVUEWA.GOV,City,Non-Federal Agency,Bellevue,WA,47.61037996,-122.2006757
205,BOTHELLWA.GOV,City,Non-Federal Agency,Bothell,WA,47.76231798,-122.20539579999999
223,BREMERTONWA.GOV,City,Non-Federal Agency,Bremerton,WA,47.56731878,-122.63263740000001
264,BURIENWA.GOV,City,Non-Federal Agency,Burien,WA,47.47037938,-122.3467868
271,BURLINGTONWA.GOV,City,Non-Federal Agency,Burlington,WA,48.47565768,-122.3254362
301,CARNATIONWA.GOV,City,Non-Federal Agency,Carnation,WA,47.64787963,-121.91400619999999
379,CITYOFAUBURNWA.GOV,City,Non-Federal Agency,Auburn,WA,47.30731835,-122.2284473
403,CITYOFDUPONTWA.GOV,City,Non-Federal Agency,DuPont,WA,47.09675954,-122.63123799999998
458,CITYOFOLYMPIA-WA.GOV,City,Non-Federal Agency,Olympia,WA,47.03786876,-122.9006966
459,CITYOFOLYMPIAWA.GOV,City,Non-Federal Agency,Olympia,WA,47.03786876,-122.9006966
461,CITYOFPACIFICWA.GOV,City,Non-Federal Agency,Pacific,WA,47.26454965,-122.2501173
474,CITYOFREDMOND.GOV,City,Non-Federal Agency,Redmond,WA,47.67398631,-122.1215098
482,CITYOFSEATTLE.GOV,City,Non-Federal Agency,Seattle,WA,47.60620883,-122.3320686
502,CITYOLYMPIA-WA.GOV,City,Non-Federal Agency,Olympia,WA,47.03786876,-122.9006966
503,CITYOLYMPIAWA.GOV,City,Non-Federal Agency,Olympia,WA,47.03786876,-122.9006966
554,CONCRETEWA.GOV,City,Non-Federal Agency,Concrete,WA,48.53927753,-121.7462476
577,COSMOPOLISWA.GOV,City,Non-Federal Agency,Cosmopolis,WA,46.95536858,-123.77377659999998
586,COVINGTONWA.GOV,City,Non-Federal Agency,Covington,WA,47.35817734,-122.1221577
644,DESMOINESWA.GOV,City,Non-Federal Agency,Des Moines,WA,47.40176947,-122.3242888
679,DUPONTWA.GOV,City,Non-Federal Agency,DuPont,WA,47.09675954,-122.63123799999998
683,DUVALLWA.GOV,City,Non-Federal Agency,Duvall,WA,47.74231725,-121.9856758
708,EATONVILLE-WA.GOV,City,Non-Federal Agency,Eatonville,WA,46.8673294,-122.26649590000001
718,EDMONDS-WA.GOV,City,Non-Federal Agency,Edmonds,WA,47.81064819,-122.3773571
719,EDMONDSWA.GOV,City,Non-Federal Agency,Edmonds,WA,47.81064819,-122.3773571
758,EVERETTWA.GOV,City,Non-Federal Agency,Everett,WA,47.97897825,-122.20207959999999
785,FEDERALWAYWA.GOV,City,Non-Federal Agency,Federal Way ,WA,47.32231552,-122.3126168
901,GRANITEFALLSWA.GOV,City,Non-Federal Agency,Granite Falls,WA,48.08398993,-121.9687393
1041,HUNTSPOINT-WA.GOV,City,Non-Federal Agency,Hunts Point,WA,47.63757555,-122.225599
1051,ILWACO-WA.GOV,City,Non-Federal Agency,Ilwaco,WA,46.30898744,-124.0432082
1074,ISSAQUAHWA.GOV,City,Non-Federal Agency,Issaquah,WA,47.53009808,-122.0326156
1102,KELSO.GOV,City,Non-Federal Agency,Kelso,WA,46.14677684,-122.90843590000001
1104,KENMOREWA.GOV,City,Non-Federal Agency,Kenmore,WA,47.75731892,-122.24400690000002
1107,KENTWA.GOV,City,Non-Federal Agency,Kent,WA,47.38092732,-122.2348367
1118,KIRKLANDWA.GOV,City,Non-Federal Agency,Kirkland,WA,47.68148715,-122.208739
1144,LAKESTEVENSWA.GOV,City,Non-Federal Agency,Lake Stevens,WA,48.01509654,-122.0637394
1198,LIBERTYLAKEWA.GOV,City,Non-Federal Agency,Liberty Lake,WA,47.67590764,-117.1182057
1226,LONGBEACHWA.GOV,City,Non-Federal Agency,Long Beach,WA,46.3523186,-124.05431770000001
1260,LYNNWOODWA.GOV,City,Non-Federal Agency,Lynnwood,WA,47.82092977,-122.31512759999998
1295,MAPLEVALLEYWA.GOV,City,Non-Federal Agency,Maple Valley,WA,47.39271627,-122.04640690000001
1311,MARYSVILLEWA.GOV,City,Non-Federal Agency,Marysville,WA,48.05175929,-122.1770798
1327,MEDINA-WA.GOV,City,Non-Federal Agency,Medina,WA,47.62092702,-122.2276193
1334,MERCERISLANDWA.GOV,City,Non-Federal Agency,Mercer Island,WA,47.57064848,-122.22206680000001
1390,MONROEWA.GOV,City,Non-Federal Agency,Monroe,WA,47.85537872,-121.97095759999999
1420,MOUNTVERNONWA.GOV,City,Non-Federal Agency,Mount Vernon,WA,48.42121701,-122.33404840000001
1426,MUKILTEOWA.GOV,City,Non-Federal Agency,Mukilteo,WA,47.94453831,-122.304576
1517,NORMANDYPARKWA.GOV,City,Non-Federal Agency,Normandy Park,WA,47.43620941,-122.3406763
1524,NORTHBENDWA.GOV,City,Non-Federal Agency,North Bend,WA,47.49565814,-121.78678000000001
1578,OLYMPIA-WA.GOV,City,Non-Federal Agency,Olympia,WA,47.03786876,-122.9006966
1579,OLYMPIAWA.GOV,City,Non-Federal Agency,Olympia,WA,47.03786876,-122.9006966
1592,OTHELLOWA.GOV,City,Non-Federal Agency,Othello,WA,46.82596907,-119.1752882
1597,PACIFICWA.GOV,City,Non-Federal Agency,Pacific,WA,47.26454965,-122.2501173
1615,PASCO-WA.GOV,City,Non-Federal Agency,Pasco,WA,46.2395766,-119.10056780000001
1711,PULLMAN-WA.GOV,City,Non-Federal Agency,Pullman,WA,46.73126597,-117.17961629999999
1735,REDMOND.GOV,City,Non-Federal Agency,Redmond,WA,47.67398631,-122.1215098
1742,RENTONWA.GOV,City,Non-Federal Agency,Renton,WA,47.48287927,-122.21706780000001
1821,SAMMAMISHWA.GOV,City,Non-Federal Agency,Sammamish,WA,47.64176917,-122.08039690000001
1858,SEATTLE.GOV,City,Non-Federal Agency,Seattle,WA,47.60620883,-122.3320686
1864,SELAHWA.GOV,City,Non-Federal Agency,Selah,WA,46.65401682,-120.5300685
1868,SEQUIMWA.GOV,City,Non-Federal Agency,SEQUIM,WA,48.07953983,-123.1018378
1877,SHORELINE-WA.GOV,City,Non-Federal Agency,Shoreline,WA,47.75564957,-122.34151770000001
1878,SHORELINEWA.GOV,City,Non-Federal Agency,Shoreline,WA,47.75564957,-122.34151770000001
1897,SNOHOMISHWA.GOV,City,Non-Federal Agency,Snohomish,WA,47.91287912,-122.09817930000001
1914,SOUTHBEND-WA.GOV,City,Non-Federal Agency,South Bend,WA,46.66314651,-123.80460790000001
1978,SUMNERWA.GOV,City,Non-Federal Agency,Sumner,WA,47.20315709,-122.2403982
1981,SUNNYSIDE-WA.GOV,City,Non-Federal Agency,Sunnyside,WA,46.32373713,-120.00864569999999
1992,TACOMAWA.GOV,City,Non-Federal Agency,Tacoma,WA,47.25287768,-122.4442886
2096,TUKWILAWA.GOV,City,Non-Federal Agency,Tukwila,WA,47.47398806,-122.26095690000001
2099,TUMWATERWA.GOV,City,Non-Federal Agency,Tumwater,WA,47.00731647,-122.90930890000001
2116,UNIONGAPWA.GOV,City,Non-Federal Agency,Union Gap,WA,46.5573474,-120.4750564
2178,WALLAWALLAWA.GOV,City,Non-Federal Agency,Walla Walla,WA,46.06457813,-118.3430196
2221,WENATCHEEWA.GOV,City,Non-Federal Agency,Wenatchee,WA,47.42345755,-120.3103485
2315,YAKIMAWA.GOV,City,Non-Federal Agency,Yakima,WA,46.60206893,-120.5058966
