,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
47,AMERYWI.GOV,City,Non-Federal Agency,Amery,WI,45.30690836,-92.36213604
113,BASSLAKEWI.GOV,City,Non-Federal Agency,Hayward,WI,46.01300821,-91.48461941
120,BAYSIDE-WI.GOV,City,Non-Federal Agency,Bayside,WI,43.18055905,-87.90063795
151,BELOITWI.GOV,City,Non-Federal Agency,Beloit,WI,42.5083457,-89.03177907
242,BROOKFIELD-WI.GOV,City,Non-Federal Agency,Brookfield,WI,43.0605682,-88.10647668
249,BROOKLYNWI.GOV,City,Non-Federal Agency,Brooklyn,WI,42.85360906,-89.37039652
266,BURLINGTON-WI.GOV,City,Non-Federal Agency,Burlington,WI,42.67806614,-88.27619712
277,BUTLERWI.GOV,City,Non-Federal Agency,Butler,WI,43.10583868,-88.06952596
364,CHIPPEWAFALLS-WI.GOV,City,Non-Federal Agency,Chippewa Falls,WI,44.9369062,-91.39292655
372,CITYOFADAMS-WI.GOV,City,Non-Federal Agency,Adams,WI,43.95607873,-89.81817879
381,CITYOFBELOITWI.GOV,City,Non-Federal Agency,Beloit,WI,42.5083457,-89.03177907
392,CITYOFCHETEK-WI.GOV,City,Non-Federal Agency,Chetek,WI,45.31412572,-91.65099665
419,CITYOFHAYWARDWI.GOV,City,Non-Federal Agency,Hayward,WI,46.01300821,-91.48461941
444,CITYOFMARIONWI.GOV,City,Non-Federal Agency,MARION,WI,44.67080881,-88.88926772
446,CITYOFMENASHA-WI.GOV,City,Non-Federal Agency,Menasha,WI,44.20220689,-88.44649801
497,CITYOFWEYAUWEGA-WI.GOV,City,Non-Federal Agency,Weyauwega,WI,44.32136982,-88.93371927
507,CLEARLAKE-WI.GOV,City,Non-Federal Agency,Clear Lake,WI,45.25190974,-92.2712981
512,CLEVELANDWI.GOV,City,Non-Federal Agency,Cleveland,WI,43.91498838,-87.74730955
599,CUDAHY-WI.GOV,City,Non-Federal Agency,Cudahy,WI,42.95973665,-87.86146892
635,DEKORRA-WI.GOV,City,Non-Federal Agency,Poynette,WI,43.39025844,-89.40289714
655,DISCOVERWAUKESHA-WI.GOV,City,Non-Federal Agency,Waukesha,WI,43.01167554,-88.23147559
686,EAGLE-WI.GOV,City,Non-Federal Agency,Eagle,WI,42.87945927,-88.47425604
705,EASTTROYWI.GOV,City,Non-Federal Agency,East Troy,WI,42.78528713,-88.40509718
710,EAUCLAIREWI.GOV,City,Non-Federal Agency,Eau Claire,WI,44.81134934,-91.49848718
723,ELKHARTLAKEWI.GOV,City,Non-Federal Agency,Elkhart Lake,WI,43.83332963,-88.01786604
770,FALLCREEKWI.GOV,City,Non-Federal Agency,Fall Creek,WI,44.76356808,-91.27709783
791,FITCHBURGWI.GOV,City,Non-Federal Agency,Fitchburg,WI,42.96082555,-89.4698377
824,FRANKLINWI.GOV,City,Non-Federal Agency,Franklin,WI,42.88862946,-88.03841572
875,GLENDALE-WI.GOV,City,Non-Federal Agency,Glendale,WI,43.13528857,-87.93563584
909,GREENBAYWI.GOV,City,Non-Federal Agency,Green Bay,WI,44.51915877,-88.01982787
1303,MARKESANWI.GOV,City,Non-Federal Agency,Markesan,WI,43.70719682,-88.99010827
1332,MENOMONIE-WI.GOV,City,Non-Federal Agency,Menomonie,WI,44.87551814,-91.91933933
1372,MILTON-WI.GOV,City,Non-Federal Agency,Milton,WI,42.77555899,-88.94399636
1373,MILWAUKEE.GOV,City,Non-Federal Agency,Milwaukee,WI,43.03889812,-87.90646943
1424,MTPLEASANTWI.GOV,City,Non-Federal Agency,Mount Pleasant,WI,42.89555884,-89.64456619
1446,NASHOTAH-WI.GOV,City,Non-Federal Agency,Nashotah,WI,43.0977889,-88.40231643
1490,NEWRICHMONDWI.GOV,City,Non-Federal Agency,New Richmond ,WI,45.12301868,-92.53658556
1571,OCONOMOWOC-WI.GOV,City,Non-Federal Agency,Oconomowoc,WI,43.11166566,-88.49926932
1629,PERRY-WI.GOV,City,Non-Federal Agency,Mount Horeb,WI,43.00860681,-89.73845936
1661,PLEASANTPRAIRIE-WI.GOV,City,Non-Federal Agency,Pleasant Prairie,WI,42.55307623,-87.93340854
1662,PLEASANTPRAIRIEWI.GOV,City,Non-Federal Agency,Pleasant Prairie,WI,42.55307623,-87.93340854
1665,PLOVERWI.GOV,City,Non-Federal Agency,Plover,WI,44.45635784,-89.54400912
1683,PORTAGEWI.GOV,City,Non-Federal Agency,Portage,WI,43.53914573,-89.46261584
1696,POYNETTE-WI.GOV,City,Non-Federal Agency,Poynette,WI,43.39025844,-89.40289714
1697,PRAIRIEDUCHIEN-WI.GOV,City,Non-Federal Agency,Prairie du Chien,WI,43.05164999,-91.14123688
1736,REEDSBURGWI.GOV,City,Non-Federal Agency,Reedsburg,WI,43.53247732,-90.00262642
1748,RICHFIELDWI.GOV,City,Non-Federal Agency,Hubertus,WI,43.23666907,-88.2211985
1871,SHEBOYGANWI.GOV,City,Non-Federal Agency,Sheboygan,WI,43.75082945,-87.71452996
1889,SISTERBAYWI.GOV,City,Non-Federal Agency,Sister Bay,WI,45.18720999,-87.12093813
1951,STCROIXFALLSWI.GOV,City,Non-Federal Agency,City of St. Croix Falls,WI,45.40940927,-92.63409641
1971,STURTEVANT-WI.GOV,City,Non-Federal Agency,Sturtevant,WI,42.69806687,-87.89451849
2040,TOWNOFDUNNWI.GOV,City,Non-Federal Agency,McFarland,WI,43.01249896,-89.28983567
2049,TOWNOFLAPOINTEWI.GOV,City,Non-Federal Agency,La Pointe,WI,46.77909672,-90.78656935
2064,TOWNOFSHIELDS-WI.GOV,City,Non-Federal Agency,Montello,WI,43.79136635,-89.31983901
2138,VERONAWI.GOV,City,Non-Federal Agency,Verona,WI,42.99082889,-89.53317858
2154,VILLAGEOFMAZOMANIEWI.GOV,City,Non-Federal Agency,Mazomanie,WI,43.1766579,-89.79484836
2192,WASHINGTONISLAND-WI.GOV,City,Non-Federal Agency,Washington Island,WI,45.37720563,-86.90094816
2206,WAUKESHA-WI.GOV,City,Non-Federal Agency,Waukesha,WI,43.01167554,-88.23147559
2223,WESTALLISWI.GOV,City,Non-Federal Agency,West Allis,WI,43.01667909,-88.0070265
2225,WESTBENDWI.GOV,City,Non-Federal Agency,West Bend,WI,43.42527884,-88.18342885
