,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
13,ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK,51.87999708,-176.6580563
24,ALEKNAGIKAK.GOV,City,Non-Federal Agency,Aleknagik,AK,59.27305704,-158.6177757
53,ANCHORAGEAK.GOV,City,Non-Federal Agency,Anchorage,AK,61.21805894,-149.90027619999998
423,CITYOFHOMER-AK.GOV,City,Non-Federal Agency,Homer,AK,59.64249675,-151.548327
936,GUSTAVUS-AK.GOV,City,Non-Federal Agency,Gustavus,AK,58.41332733,-135.7369371
1030,HOUSTON-AK.GOV,City,Non-Federal Agency,Houston,AK,61.63027636,-149.8180595
1632,PETERSBURGAK.GOV,City,Non-Federal Agency,Petersburg,AK,56.81249988,-132.9555584
1644,PILOTPOINTAK.GOV,City,Non-Federal Agency,Pilot Point,AK,57.56416718,-157.57916880000002
2014,THORNEBAY-AK.GOV,City,Non-Federal Agency,Thorne Bay,AK,55.68777969,-132.5222198
2264,WHITTIERALASKA.GOV,City,Non-Federal Agency,Whittier,AK,60.77305743,-148.6838857
