,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
51,AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR,34.26481622,-93.46101953
110,BARLINGAR.GOV,City,Non-Federal Agency,Barling,AR,35.32564658,-94.30159894
142,BELLAVISTAAR.GOV,City,Non-Federal Agency,Bella Vista,AR,36.42951562,-94.23159865
279,CABOTAR.GOV,City,Non-Federal Agency,Cabot,AR,34.97452924,-92.01652621
315,CAVESPRINGSAR.GOV,City,Non-Federal Agency,Cave Springs,AR,36.26340836,-94.23186863
396,CITYOFCONWAY-AR.GOV,City,Non-Federal Agency,Conway,AR,35.08869761,-92.44209845
408,CITYOFFARMINGTON-AR.GOV,City,Non-Federal Agency,Farmington,AR,36.04201901,-94.24714927
412,CITYOFGRAVETTE-AR.GOV,City,Non-Federal Agency,Gravette,AR,36.42201929,-94.45354595
505,CLARKSVILLEAR.GOV,City,Non-Federal Agency,Clarksville,AR,35.47146964,-93.46656754
567,CORNINGAR.GOV,City,Non-Federal Agency,Corning,AR,36.40783655,-90.5798262
647,DEWITTAR.GOV,City,Non-Federal Agency,DeWitt,AR,34.29287573,-91.33789643
756,EUREKASPRINGSAR.GOV,City,Non-Federal Agency,Eureka Springs,AR,36.40117714,-93.73796995
781,FAYETTEVILLE-AR.GOV,City,Non-Federal Agency,Fayetteville,AR,36.06257769,-94.15742723
782,FAYETTEVILLEFIRST-AR.GOV,City,Non-Federal Agency,Fayetteville,AR,36.06257769,-94.15742723
810,FORTSMITHAR.GOV,City,Non-Federal Agency,Fort Smith,AR,35.38591873,-94.39854733
1211,LITTLEROCKAR.GOV,City,Non-Federal Agency,Little Rock,AR,34.74647597,-92.28958898
1247,LOWELLARKANSAS.GOV,City,Non-Federal Agency,Lowell,AR,36.25534958,-94.1307581
1273,MALVERNAR.GOV,City,Non-Federal Agency,Malvern,AR,34.36230906,-92.81294654
1628,PERMITTINGROGERSAR.GOV,City,Non-Federal Agency,Rogers,AR,36.33201828,-94.11853718
1786,ROGERSAR.GOV,City,Non-Federal Agency,Rogers,AR,36.33201828,-94.11853718
1932,SPRINGDALEAR.GOV,City,Non-Federal Agency,Springdale,AR,36.18673967,-94.12880977
2025,TONTITOWNAR.GOV,City,Non-Federal Agency,Tontitown,AR,36.17785746,-94.23353798
2234,WESTFORKAR.GOV,City,Non-Federal Agency,West Fork,AR,35.92424646,-94.18853747
