,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
1,SANFRANCISCO.GOV,City,General Services Administration,San Francisco,CA,37.77492774,-122.4194193
2,SF.GOV,City,General Services Administration,San Francisco,CA,37.77492774,-122.4194193
19,ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA,37.7652086,-122.2416356
68,ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA,34.13972732,-118.03533689999999
106,BAKERSFIELD-CA.GOV,City,Non-Federal Agency,Bakersfield,CA,35.37328835,-119.01870659999999
124,BEAUMONT-CA.GOV,City,Non-Federal Agency,Beaumont,CA,33.92945647,-116.9772467
150,BELMONT.GOV,City,Non-Federal Agency,Belmont,CA,37.52020984,-122.2757966
173,BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,Beverly Hills,CA,34.07361918,-118.40035800000001
174,BEVERLYHILLSCA.GOV,City,Non-Federal Agency,Beverly Hills,CA,34.07361918,-118.40035800000001
178,BIGGS-CA.GOV,City,Non-Federal Agency,Biggs,CA,39.41238643,-121.712748
220,BRAWLEY-CA.GOV,City,Non-Federal Agency,Brawley,CA,32.97865935,-115.53026969999999
225,BRENTWOODCA.GOV,City,Non-Federal Agency,Brentwood,CA,37.92686575,-121.7257699
262,BURBANKCA.GOV,City,Non-Federal Agency,Burbank,CA,34.18083567,-118.30896659999999
284,CALIFORNIACITY-CA.GOV,City,Non-Federal Agency,California City,CA,35.12579681,-117.9858997
290,CAMPBELLCA.GOV,City,Non-Federal Agency,Campbell,CA,37.28716652,-121.94995800000001
300,CARLSBADCA.GOV,City,Non-Federal Agency,Carlsbad,CA,33.15808992,-117.3505876
314,CATHEDRALCITY.GOV,City,Non-Federal Agency,Cathedral City,CA,33.77973676,-116.46528670000001
358,CHICOCA.GOV,City,Non-Federal Agency,Chico,CA,39.72848788,-121.837477
366,CHULAVISTACA.GOV,City,Non-Federal Agency,Chula Vista,CA,32.64004639,-117.08419779999998
374,CITYOFALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA,37.7652086,-122.2416356
399,CITYOFCUDAHYCA.GOV,City,Non-Federal Agency,Cudahy,CA,33.96056671,-118.185349
407,CITYOFFARMERSVILLE-CA.GOV,City,Non-Federal Agency,Farmersville,CA,36.29772682,-119.2067764
418,CITYOFHAYWARD-CA.GOV,City,Non-Federal Agency,Hayward,CA,37.66881815,-122.08079740000002
432,CITYOFKINGSBURG-CA.GOV,City,Non-Federal Agency,Kingsburg,CA,36.51383814,-119.5540196
436,CITYOFLAHABRA-CA.GOV,City,Non-Federal Agency,LA HABRA,CA,33.93195825,-117.9461683
471,CITYOFPLEASANTONCA.GOV,City,Non-Federal Agency,Pleasanton,CA,37.66242872,-121.8746797
480,CITYOFSANTEECA.GOV,City,Non-Federal Agency,Santee,CA,32.83837979,-116.97391699999999
490,CITYOFTORRANCECA.GOV,City,Non-Federal Agency,Torrance,CA,33.83584678,-118.3406258
521,CMSDCA.GOV,City,Non-Federal Agency,Costa Mesa,CA,33.64112656,-117.91866670000002
529,COLFAX-CA.GOV,City,Non-Federal Agency,Colfax,CA,39.10072609,-120.9532784
539,COLTONCA.GOV,City,Non-Federal Agency,Colton,CA,34.07389816,-117.3136459
569,CORONACA.GOV,City,Non-Federal Agency,Corona,CA,33.87528578,-117.56643799999999
570,CORONADOCA.GOV,City,Non-Federal Agency,Coronado,CA,32.68588833,-117.18308999999999
579,COSTAMESACA.GOV,City,Non-Federal Agency,Costa Mesa,CA,33.64112656,-117.91866670000002
583,COVINACA.GOV,City,Non-Federal Agency,Covina,CA,34.09000673,-117.89033719999999
650,DIAMONDBARCA.GOV,City,Non-Federal Agency,Diamond Bar,CA,34.02861867,-117.8103388
664,DUBLIN-CA.GOV,City,Non-Federal Agency,Dublin,CA,37.70214669,-121.9357887
665,DUBLINCA.GOV,City,Non-Federal Agency,Dublin,CA,37.70214669,-121.9357887
706,EASTVALECA.GOV,City,Non-Federal Agency,Eastvale,CA,33.96357695,-117.56417920000001
734,ELMONTECA.GOV,City,Non-Federal Agency,El Monte,CA,34.06861563,-118.027566
741,ENCINITASCA.GOV,City,Non-Federal Agency,Encinitas,CA,33.03698767,-117.29197579999999
742,ENCINITASCALIFORNIA.GOV,City,Non-Federal Agency,Encinitas,CA,33.03698767,-117.29197579999999
832,FREMONT.GOV,City,Non-Federal Agency,Fremont,CA,37.54826935,-121.98856909999999
836,FRESNO.GOV,City,Non-Federal Agency,Fresno,CA,36.74772739,-119.7723672
877,GLENDALECA.GOV,City,Non-Federal Agency,Glendale,CA,34.14250807,-118.2550794
